Year,Value
1961,23.67
1962,21.65
1963,22.2
1964,21.73
1965,20.55
1966,17.26
1967,16.58
1968,17.98
1969,14.7
1970,15.91
1971,16.37
1972,13.05
1973,12.61
1974,14.5
1975,16.65
1976,10.25
1977,12.51
1978,13.7
1979,7.6
1980,9.72
1981,7.36
1982,8.3
1983,7.55
1984,6.81
1985,8.04
1986,6.18
1987,8.11
1988,7.49
1989,6.14
1990,6.71
1991,6.84
1992,6.51
1993,5.62
1994,3.83
1995,8.64
1996,4.62
1997,6.26
1998,4.79
1999,2.44
2000,3.94
2001,3.42
2002,3.71
2003,2.9
2004,3.07
2005,3.04
2006,2.27
2007,3.29
2008,3.52
2009,2.19
2010,3.26
2011,1.56
2012,1.54
2013,2.54
2014,2.29
2015,3.15
2016,1.98
2017,3.44
2018,2.6
2019,1.35
2020,3.32
2021,3.89
