Year,Value
1944,125.0248081
1945,188.1900916
1946,196.7611771
1947,197.4312618
1948,219.730018
1949,215.9824407
1950,219.9203074
1951,214.9653829
1952,211.6691688
1953,208.2052384
1954,471.1814617
1955,476.1685028
1956,465.8765989
1957,456.6564229
1958,445.348886
1959,469.5573474
1960,535.4922205
1961,599.5645602
1962,588.0452521
1963,577.7347805
1964,657.1745839
1965,651.8368546
1966,641.16461
1967,630.4298224
1968,620.7977791
1969,613.404376
1970,1144.538869
1971,1140.113458
1972,1295.007258
1973,1605.095964
1974,1668.401007
1975,1645.510972
1976,1689.184628
1977,1682.790008
1978,2043.091053
1979,2470.555224
1980,2444.145796
1981,2444.954148
1982,2716.377669
1983,3272.071904
1984,3232.97933
1985,3203.552696
1986,3182.429615
1987,3157.853348
1988,3114.432403
1989,3060.555178
1990,3052.23713
1991,3027.412786
1992,3175.357202
1993,3524.296266
1994,3506.798358
1995,3481.657665
1996,3468.924234
1997,3444.296227
1998,3669.58782
1999,3915.411734
2000,4191.113389
2001,4346.137965
2002,4561.476053
2003,4689.896038
2004,4658.653681
2005,4618.98582
2006,4634.43051
2007,5137.042045
2008,7460.392634
2009,7664.662709
2010,7719.557347
2011,7703.39957
2012,7962.115309
2013,7907.530363
2014,8120.723061
2015,8042.430872
2016,7961.302623
2017,7824.358872
2018,7784.361839
2019,7908.265557
