Year,Units,Útgjaldaliður,Value
1998,Hlutfall af heildarútgjöldum hins opinbera,,54.56
1999,Hlutfall af heildarútgjöldum hins opinbera,,55.31
2000,Hlutfall af heildarútgjöldum hins opinbera,,55.13
2001,Hlutfall af heildarútgjöldum hins opinbera,,55.03
2002,Hlutfall af heildarútgjöldum hins opinbera,,57.54
2003,Hlutfall af heildarútgjöldum hins opinbera,,58.53
2004,Hlutfall af heildarútgjöldum hins opinbera,,59.02
2005,Hlutfall af heildarútgjöldum hins opinbera,,60.13
2006,Hlutfall af heildarútgjöldum hins opinbera,,58.61
2007,Hlutfall af heildarútgjöldum hins opinbera,,57.71
2008,Hlutfall af heildarútgjöldum hins opinbera,,43.71
2009,Hlutfall af heildarútgjöldum hins opinbera,,55.1
2010,Hlutfall af heildarútgjöldum hins opinbera,,53.0
2011,Hlutfall af heildarútgjöldum hins opinbera,,57.36
2012,Hlutfall af heildarútgjöldum hins opinbera,,56.46
2013,Hlutfall af heildarútgjöldum hins opinbera,,57.09
2014,Hlutfall af heildarútgjöldum hins opinbera,,55.84
2015,Hlutfall af heildarútgjöldum hins opinbera,,56.84
2016,Hlutfall af heildarútgjöldum hins opinbera,,52.49
2017,Hlutfall af heildarútgjöldum hins opinbera,,57.37
2018,Hlutfall af heildarútgjöldum hins opinbera,,56.67
2019,Hlutfall af heildarútgjöldum hins opinbera,,59.16
1998,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,18.13
1999,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,19.57
2000,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,18.99
2001,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,18.47
2002,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,19.35
2003,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,19.21
2004,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,19.07
2005,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,19.03
2006,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,18.9
2007,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,18.53
2008,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,13.72
2009,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,16.26
2010,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,15.2
2011,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,15.98
2012,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,16.25
2013,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,16.81
2014,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,16.61
2015,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,17.37
2016,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,16.54
2017,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,17.47
2018,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,17.61
2019,Hlutfall af heildarútgjöldum hins opinbera,Heilbrigðismál,17.93
1998,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,18.58
1999,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,17.99
2000,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,18.21
2001,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,18.37
2002,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,19.46
2003,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,21.17
2004,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,21.31
2005,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,21.32
2006,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,19.77
2007,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,19.98
2008,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,15.43
2009,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,22.06
2010,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,21.63
2011,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,24.35
2012,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,23.37
2013,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,23.15
2014,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,22.43
2015,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,22.1
2016,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,20.11
2017,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,22.51
2018,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,23.07
2019,Hlutfall af heildarútgjöldum hins opinbera,Félagsvernd,25.09
1998,Hlutfall af heildarútgjöldum hins opinbera,Menntun,17.85
1999,Hlutfall af heildarútgjöldum hins opinbera,Menntun,17.75
2000,Hlutfall af heildarútgjöldum hins opinbera,Menntun,17.93
2001,Hlutfall af heildarútgjöldum hins opinbera,Menntun,18.19
2002,Hlutfall af heildarútgjöldum hins opinbera,Menntun,18.73
2003,Hlutfall af heildarútgjöldum hins opinbera,Menntun,18.15
2004,Hlutfall af heildarútgjöldum hins opinbera,Menntun,18.64
2005,Hlutfall af heildarútgjöldum hins opinbera,Menntun,19.78
2006,Hlutfall af heildarútgjöldum hins opinbera,Menntun,19.94
2007,Hlutfall af heildarútgjöldum hins opinbera,Menntun,19.2
2008,Hlutfall af heildarútgjöldum hins opinbera,Menntun,14.56
2009,Hlutfall af heildarútgjöldum hins opinbera,Menntun,16.78
2010,Hlutfall af heildarútgjöldum hins opinbera,Menntun,16.17
2011,Hlutfall af heildarútgjöldum hins opinbera,Menntun,17.03
2012,Hlutfall af heildarútgjöldum hins opinbera,Menntun,16.84
2013,Hlutfall af heildarútgjöldum hins opinbera,Menntun,17.13
2014,Hlutfall af heildarútgjöldum hins opinbera,Menntun,16.8
2015,Hlutfall af heildarútgjöldum hins opinbera,Menntun,17.37
2016,Hlutfall af heildarútgjöldum hins opinbera,Menntun,15.84
2017,Hlutfall af heildarútgjöldum hins opinbera,Menntun,17.39
2018,Hlutfall af heildarútgjöldum hins opinbera,Menntun,15.99
2019,Hlutfall af heildarútgjöldum hins opinbera,Menntun,16.14
1998,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,22.18
1999,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,22.88
2000,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,22.59
2001,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,22.85
2002,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,24.64
2003,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,25.93
2004,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,25.14
2005,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,24.84
2006,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,23.87
2007,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,23.42
2008,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,23.83
2009,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,26.11
2010,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,25.33
2011,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,25.37
2012,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,24.74
2013,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,24.21
2014,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,24.47
2015,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,23.59
2016,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,23.26
2017,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,24.83
2018,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,24.93
2019,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),,25.7
1998,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.37
1999,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,8.1
2000,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.78
2001,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.67
2002,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,8.29
2003,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,8.51
2004,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,8.12
