Year,Tekjur/útgjöld,Tekjuhópur,Value
2002-2004,Útgjöld,Fyrsti tekjufjórðungur,6.280601968
2003-2005,Útgjöld,Fyrsti tekjufjórðungur,7.674755827
2004-2006,Útgjöld,Fyrsti tekjufjórðungur,15.95094892
2005-2007,Útgjöld,Fyrsti tekjufjórðungur,13.56608759
2006-2008,Útgjöld,Fyrsti tekjufjórðungur,14.31796667
2007-2009,Útgjöld,Fyrsti tekjufjórðungur,3.501315087
2008-2010,Útgjöld,Fyrsti tekjufjórðungur,-9.376454184
2009-2011,Útgjöld,Fyrsti tekjufjórðungur,-4.507547111
2010-2012,Útgjöld,Fyrsti tekjufjórðungur,8.971542154
2011-2014,Útgjöld,Fyrsti tekjufjórðungur,5.932695999
2012-2015,Útgjöld,Fyrsti tekjufjórðungur,4.43507329
2013-2016,Útgjöld,Fyrsti tekjufjórðungur,3.398256313
2002-2004,Útgjöld,Annar tekjufjórðungur,9.157000514
2003-2005,Útgjöld,Annar tekjufjórðungur,9.145458634
2004-2006,Útgjöld,Annar tekjufjórðungur,7.707071098
2005-2007,Útgjöld,Annar tekjufjórðungur,11.58337617
2006-2008,Útgjöld,Annar tekjufjórðungur,4.857913313
2007-2009,Útgjöld,Annar tekjufjórðungur,5.003834979
2008-2010,Útgjöld,Annar tekjufjórðungur,-3.989712722
2009-2011,Útgjöld,Annar tekjufjórðungur,1.374077971
2010-2012,Útgjöld,Annar tekjufjórðungur,8.375958741
2011-2014,Útgjöld,Annar tekjufjórðungur,26.11119637
2012-2015,Útgjöld,Annar tekjufjórðungur,-0.386645615
2013-2016,Útgjöld,Annar tekjufjórðungur,-3.304337067
2002-2004,Útgjöld,Þriðji tekjufjórðungur,8.832820236
2003-2005,Útgjöld,Þriðji tekjufjórðungur,1.769946626
2004-2006,Útgjöld,Þriðji tekjufjórðungur,5.557991477
2005-2007,Útgjöld,Þriðji tekjufjórðungur,8.520599273
2006-2008,Útgjöld,Þriðji tekjufjórðungur,11.33936389
2007-2009,Útgjöld,Þriðji tekjufjórðungur,7.356473772
2008-2010,Útgjöld,Þriðji tekjufjórðungur,-1.822636158
2009-2011,Útgjöld,Þriðji tekjufjórðungur,0.413291299
2010-2012,Útgjöld,Þriðji tekjufjórðungur,6.095609679
2011-2014,Útgjöld,Þriðji tekjufjórðungur,28.5247545
2012-2015,Útgjöld,Þriðji tekjufjórðungur,-2.571775611
2013-2016,Útgjöld,Þriðji tekjufjórðungur,-13.5370764
2002-2004,Útgjöld,Fjórði tekjufjórðjungur,12.98969464
2003-2005,Útgjöld,Fjórði tekjufjórðjungur,9.018821286
2004-2006,Útgjöld,Fjórði tekjufjórðjungur,4.666830514
2005-2007,Útgjöld,Fjórði tekjufjórðjungur,0.97958802
2006-2008,Útgjöld,Fjórði tekjufjórðjungur,1.83538522
2007-2009,Útgjöld,Fjórði tekjufjórðjungur,10.85369197
2008-2010,Útgjöld,Fjórði tekjufjórðjungur,1.173030662
2009-2011,Útgjöld,Fjórði tekjufjórðjungur,2.825838212
2010-2012,Útgjöld,Fjórði tekjufjórðjungur,6.673967723
2011-2014,Útgjöld,Fjórði tekjufjórðjungur,13.29323978
2012-2015,Útgjöld,Fjórði tekjufjórðjungur,-5.05974981
2013-2016,Útgjöld,Fjórði tekjufjórðjungur,-2.197145791
2002-2004,Útgjöld,Alls,9.318719941
2003-2005,Útgjöld,Alls,6.956562826
2004-2006,Útgjöld,Alls,7.742893648
2005-2007,Útgjöld,Alls,7.731866517
2006-2008,Útgjöld,Alls,7.5423201
2007-2009,Útgjöld,Alls,6.971880197
2008-2010,Útgjöld,Alls,-3.081218976
2009-2011,Útgjöld,Alls,0.359568005
2010-2012,Útgjöld,Alls,7.32846131
2011-2014,Útgjöld,Alls,17.33356596
2012-2015,Útgjöld,Alls,-2.066962745
2013-2016,Útgjöld,Alls,-4.937067082
2005,Tekjur,Fyrsti tekjufimmtungur,7.438016529
2006,Tekjur,Fyrsti tekjufimmtungur,7.884615385
2007,Tekjur,Fyrsti tekjufimmtungur,12.29946524
2008,Tekjur,Fyrsti tekjufimmtungur,11.98412698
2009,Tekjur,Fyrsti tekjufimmtungur,13.53649894
2010,Tekjur,Fyrsti tekjufimmtungur,-0.124843945
2011,Tekjur,Fyrsti tekjufimmtungur,-1.375
2012,Tekjur,Fyrsti tekjufimmtungur,4.182509506
2013,Tekjur,Fyrsti tekjufimmtungur,5.109489051
2014,Tekjur,Fyrsti tekjufimmtungur,11.57407407
2015,Tekjur,Fyrsti tekjufimmtungur,0.2593361
2016,Tekjur,Fyrsti tekjufimmtungur,9.984480083
2005,Tekjur,Annar tekjufimmtungur,5.622188906
2006,Tekjur,Annar tekjufimmtungur,9.013484741
2007,Tekjur,Annar tekjufimmtungur,12.3046875
2008,Tekjur,Annar tekjufimmtungur,12.28985507
2009,Tekjur,Annar tekjufimmtungur,11.82240578
2010,Tekjur,Annar tekjufimmtungur,-0.184672207
2011,Tekjur,Annar tekjufimmtungur,-1.618871415
2012,Tekjur,Annar tekjufimmtungur,1.692524683
2013,Tekjur,Annar tekjufimmtungur,7.905686546
2014,Tekjur,Annar tekjufimmtungur,7.06940874
2015,Tekjur,Annar tekjufimmtungur,5.842336935
2016,Tekjur,Annar tekjufimmtungur,8.884688091
2005,Tekjur,Þriðji tekjufimmtungur,6.439628483
2006,Tekjur,Þriðji tekjufimmtungur,7.911576498
2007,Tekjur,Þriðji tekjufimmtungur,13.47708895
2008,Tekjur,Þriðji tekjufimmtungur,11.54394299
2009,Tekjur,Þriðji tekjufimmtungur,14.13969336
2010,Tekjur,Þriðji tekjufimmtungur,-1.641791045
2011,Tekjur,Þriðji tekjufimmtungur,-2.883156297
2012,Tekjur,Þriðji tekjufimmtungur,1.71875
2013,Tekjur,Þriðji tekjufimmtungur,9.216589862
2014,Tekjur,Þriðji tekjufimmtungur,6.926863572
2015,Tekjur,Þriðji tekjufimmtungur,4.274909569
2016,Tekjur,Þriðji tekjufimmtungur,9.145380006
2005,Tekjur,Fjórði tekjufimmtungur,5.193482688
2006,Tekjur,Fjórði tekjufimmtungur,9.341723136
2007,Tekjur,Fjórði tekjufimmtungur,16.64453298
2008,Tekjur,Fjórði tekjufimmtungur,10.77798861
2009,Tekjur,Fjórði tekjufimmtungur,13.08667352
2010,Tekjur,Fjórði tekjufimmtungur,-2.332626477
2011,Tekjur,Fjórði tekjufimmtungur,-3.970223325
