Year,Meðhöndlun,Units,Value
2014,,Tonn á íbúa,0.1107
2015,,Tonn á íbúa,0.1651
2016,,Tonn á íbúa,0.1427
2017,,Tonn á íbúa,0.2373
2018,,Tonn á íbúa,0.2186
2019,,Tonn á íbúa,0.3237
2014,Endurvinnsla,Tonn á íbúa,0.0776
2015,Endurvinnsla,Tonn á íbúa,0.1188
2016,Endurvinnsla,Tonn á íbúa,0.0595
2017,Endurvinnsla,Tonn á íbúa,0.1927
2018,Endurvinnsla,Tonn á íbúa,0.1747
2019,Endurvinnsla,Tonn á íbúa,0.2756
2014,Urðun,Tonn á íbúa,0.0331
2015,Urðun,Tonn á íbúa,0.0462
2016,Urðun,Tonn á íbúa,0.0831
2017,Urðun,Tonn á íbúa,0.0446
2018,Urðun,Tonn á íbúa,0.0439
2019,Urðun,Tonn á íbúa,0.0482
2014,Endurvinnsla,Hlutfall alls hættulegs úrgangs,70.1
2015,Endurvinnsla,Hlutfall alls hættulegs úrgangs,71.99
2016,Endurvinnsla,Hlutfall alls hættulegs úrgangs,41.73
2017,Endurvinnsla,Hlutfall alls hættulegs úrgangs,81.22
2018,Endurvinnsla,Hlutfall alls hættulegs úrgangs,79.9
2019,Endurvinnsla,Hlutfall alls hættulegs úrgangs,85.12
2014,Urðun,Hlutfall alls hættulegs úrgangs,29.9
2015,Urðun,Hlutfall alls hættulegs úrgangs,28.01
2016,Urðun,Hlutfall alls hættulegs úrgangs,58.27
2017,Urðun,Hlutfall alls hættulegs úrgangs,18.78
2018,Urðun,Hlutfall alls hættulegs úrgangs,20.1
2019,Urðun,Hlutfall alls hættulegs úrgangs,14.88
