Year,Atvinnugrein,Uppspretta,Bókhald,Value
1990,,,UNFCCC - NIR,13005.38
1991,,,UNFCCC - NIR,12785.18
1992,,,UNFCCC - NIR,12686.19
1993,,,UNFCCC - NIR,12769.63
1994,,,UNFCCC - NIR,12668.01
1995,,,UNFCCC - NIR,12787.07
1996,,,UNFCCC - NIR,12833.28
1997,,,UNFCCC - NIR,13002.96
1998,,,UNFCCC - NIR,13168.11
1999,,,UNFCCC - NIR,13401.65
2000,,,UNFCCC - NIR,13424.62
2001,,,UNFCCC - NIR,13334.33
2002,,,UNFCCC - NIR,13429.08
2003,,,UNFCCC - NIR,13400.78
2004,,,UNFCCC - NIR,13508.0
2005,,,UNFCCC - NIR,13374.55
2006,,,UNFCCC - NIR,14028.66
2007,,,UNFCCC - NIR,14361.59
2008,,,UNFCCC - NIR,14767.32
2009,,,UNFCCC - NIR,14442.83
2010,,,UNFCCC - NIR,14316.77
2011,,,UNFCCC - NIR,14023.7
2012,,,UNFCCC - NIR,14033.88
2013,,,UNFCCC - NIR,14012.86
2014,,,UNFCCC - NIR,14025.14
2015,,,UNFCCC - NIR,14078.41
2016,,,UNFCCC - NIR,13985.21
2017,,,UNFCCC - NIR,14075.43
2018,,,UNFCCC - NIR,13927.76
2019,,,UNFCCC - NIR,13794.41
1990,,Orka,UNFCCC - NIR,1866.69
1991,,Orka,UNFCCC - NIR,1780.91
1992,,Orka,UNFCCC - NIR,1923.55
1993,,Orka,UNFCCC - NIR,2035.54
1994,,Orka,UNFCCC - NIR,1974.78
1995,,Orka,UNFCCC - NIR,2068.65
1996,,Orka,UNFCCC - NIR,2124.77
1997,,Orka,UNFCCC - NIR,2168.53
1998,,Orka,UNFCCC - NIR,2162.1
1999,,Orka,UNFCCC - NIR,2227.26
2000,,Orka,UNFCCC - NIR,2210.48
2001,,Orka,UNFCCC - NIR,2095.48
2002,,Orka,UNFCCC - NIR,2203.38
2003,,Orka,UNFCCC - NIR,2194.1
2004,,Orka,UNFCCC - NIR,2294.83
2005,,Orka,UNFCCC - NIR,2184.44
2006,,Orka,UNFCCC - NIR,2253.87
2007,,Orka,UNFCCC - NIR,2402.0
2008,,Orka,UNFCCC - NIR,2259.53
2009,,Orka,UNFCCC - NIR,2177.38
2010,,Orka,UNFCCC - NIR,2056.98
2011,,Orka,UNFCCC - NIR,1922.49
2012,,Orka,UNFCCC - NIR,1880.6
2013,,Orka,UNFCCC - NIR,1844.35
2014,,Orka,UNFCCC - NIR,1859.47
2015,,Orka,UNFCCC - NIR,1876.94
2016,,Orka,UNFCCC - NIR,1857.62
2017,,Orka,UNFCCC - NIR,1907.49
2018,,Orka,UNFCCC - NIR,1912.88
2019,,Orka,UNFCCC - NIR,1854.91
1990,,Iðnaðarferlar,UNFCCC - NIR,958.01
1991,,Iðnaðarferlar,UNFCCC - NIR,837.43
1992,,Iðnaðarferlar,UNFCCC - NIR,607.73
1993,,Iðnaðarferlar,UNFCCC - NIR,565.0
1994,,Iðnaðarferlar,UNFCCC - NIR,531.1
1995,,Iðnaðarferlar,UNFCCC - NIR,571.21
1996,,Iðnaðarferlar,UNFCCC - NIR,546.56
1997,,Iðnaðarferlar,UNFCCC - NIR,675.46
1998,,Iðnaðarferlar,UNFCCC - NIR,827.83
1999,,Iðnaðarferlar,UNFCCC - NIR,974.81
2000,,Iðnaðarferlar,UNFCCC - NIR,1008.56
2001,,Iðnaðarferlar,UNFCCC - NIR,1011.78
2002,,Iðnaðarferlar,UNFCCC - NIR,987.92
2003,,Iðnaðarferlar,UNFCCC - NIR,984.86
2004,,Iðnaðarferlar,UNFCCC - NIR,986.03
2005,,Iðnaðarferlar,UNFCCC - NIR,964.69
2006,,Iðnaðarferlar,UNFCCC - NIR,1436.0
2007,,Iðnaðarferlar,UNFCCC - NIR,1577.52
2008,,Iðnaðarferlar,UNFCCC - NIR,2108.7
2009,,Iðnaðarferlar,UNFCCC - NIR,1917.66
2010,,Iðnaðarferlar,UNFCCC - NIR,1951.13
2011,,Iðnaðarferlar,UNFCCC - NIR,1845.72
2012,,Iðnaðarferlar,UNFCCC - NIR,1937.49
2013,,Iðnaðarferlar,UNFCCC - NIR,1962.75
2014,,Iðnaðarferlar,UNFCCC - NIR,1941.85
2015,,Iðnaðarferlar,UNFCCC - NIR,2023.0
2016,,Iðnaðarferlar,UNFCCC - NIR,1973.99
2017,,Iðnaðarferlar,UNFCCC - NIR,2039.34
2018,,Iðnaðarferlar,UNFCCC - NIR,2022.53
2019,,Iðnaðarferlar,UNFCCC - NIR,2024.37
1990,,Landbúnaður,UNFCCC - NIR,592.68
1991,,Landbúnaður,UNFCCC - NIR,576.01
1992,,Landbúnaður,UNFCCC - NIR,559.55
1993,,Landbúnaður,UNFCCC - NIR,562.66
1994,,Landbúnaður,UNFCCC - NIR,568.15
1995,,Landbúnaður,UNFCCC - NIR,547.61
1996,,Landbúnaður,UNFCCC - NIR,560.24
1997,,Landbúnaður,UNFCCC - NIR,553.44
1998,,Landbúnaður,UNFCCC - NIR,563.52
1999,,Landbúnaður,UNFCCC - NIR,568.06
2000,,Landbúnaður,UNFCCC - NIR,551.75
2001,,Landbúnaður,UNFCCC - NIR,551.82
2002,,Landbúnaður,UNFCCC - NIR,535.21
2003,,Landbúnaður,UNFCCC - NIR,525.09
2004,,Landbúnaður,UNFCCC - NIR,515.88
2005,,Landbúnaður,UNFCCC - NIR,518.75
2006,,Landbúnaður,UNFCCC - NIR,542.9
2007,,Landbúnaður,UNFCCC - NIR,559.56
2008,,Landbúnaður,UNFCCC - NIR,572.13
2009,,Landbúnaður,UNFCCC - NIR,556.98
2010,,Landbúnaður,UNFCCC - NIR,545.73
2011,,Landbúnaður,UNFCCC - NIR,545.73
2012,,Landbúnaður,UNFCCC - NIR,545.06
2013,,Landbúnaður,UNFCCC - NIR,539.68
2014,,Landbúnaður,UNFCCC - NIR,583.3
2015,,Landbúnaður,UNFCCC - NIR,570.52
2016,,Landbúnaður,UNFCCC - NIR,571.14
2017,,Landbúnaður,UNFCCC - NIR,578.19
2018,,Landbúnaður,UNFCCC - NIR,631.91
2019,,Landbúnaður,UNFCCC - NIR,618.85
