Year,Hlutvísir,Value
2000,Árleg breyting í skógþekju (%),0.0
2000,Skógarlífmassi ofanjarðar [ton/ha],14.19
2000,Hlutfall skóglendis innan friðaðra svæða [%],0.01
2000,Hlutfall skóglendis í langtíma skógstýringu [%],0.4396
2000,Skógar í vottaðri og sjálfbærri skógarstjórnun [1000 ha],0.0
2010,Árleg breyting í skógþekju (%),0.0412
2010,Skógarlífmassi ofanjarðar [ton/ha],15.63
2010,Hlutfall skóglendis innan friðaðra svæða [%],0.0125
2010,Hlutfall skóglendis í langtíma skógstýringu [%],0.7413
2010,Skógar í vottaðri og sjálfbærri skógarstjórnun [1000 ha],0.0
2015,Árleg breyting í skógþekju (%),0.0152
2015,Skógarlífmassi ofanjarðar [ton/ha],19.86
2015,Hlutfall skóglendis innan friðaðra svæða [%],0.0127
2015,Hlutfall skóglendis í langtíma skógstýringu [%],0.8096
2015,Skógar í vottaðri og sjálfbærri skógarstjórnun [1000 ha],0.0
2016,Árleg breyting í skógþekju (%),0.0103
2016,Skógarlífmassi ofanjarðar [ton/ha],20.72
2016,Hlutfall skóglendis innan friðaðra svæða [%],0.0127
2016,Hlutfall skóglendis í langtíma skógstýringu [%],0.8191
2016,Skógar í vottaðri og sjálfbærri skógarstjórnun [1000 ha],0.0
2017,Árleg breyting í skógþekju (%),0.0146
2017,Skógarlífmassi ofanjarðar [ton/ha],21.46
2017,Hlutfall skóglendis innan friðaðra svæða [%],0.0127
2017,Hlutfall skóglendis í langtíma skógstýringu [%],0.8331
2017,Skógar í vottaðri og sjálfbærri skógarstjórnun [1000 ha],0.0
2018,Árleg breyting í skógþekju (%),0.0132
2018,Skógarlífmassi ofanjarðar [ton/ha],22.21
2018,Hlutfall skóglendis innan friðaðra svæða [%],
2018,Hlutfall skóglendis í langtíma skógstýringu [%],0.8333
2018,Skógar í vottaðri og sjálfbærri skógarstjórnun [1000 ha],
2019,Árleg breyting í skógþekju (%),0.0128
2019,Skógarlífmassi ofanjarðar [ton/ha],22.94
2019,Hlutfall skóglendis innan friðaðra svæða [%],
2019,Hlutfall skóglendis í langtíma skógstýringu [%],0.8459
2019,Skógar í vottaðri og sjálfbærri skógarstjórnun [1000 ha],
2019,Árleg breyting í skógþekju (%),0.0129
2019,Skógarlífmassi ofanjarðar [ton/ha],23.66
2019,Hlutfall skóglendis innan friðaðra svæða [%],
2019,Hlutfall skóglendis í langtíma skógstýringu [%],0.8588
2019,Skógar í vottaðri og sjálfbærri skógarstjórnun [1000 ha],
