Year,Kyn,Value
1996,,0.373192814
1997,,1.111629872
1998,,0.0
1999,,0.725394615
2000,,2.150160008
2001,,0.705813432
2002,,1.744743959
2003,,0.0
2004,,1.376604605
2005,,1.021878417
2006,,0.333454488
2007,,0.650042903
2008,,0.316998405
2009,,0.313118409
2010,,0.629663445
2011,,0.942057202
2012,,0.312915591
2013,,0.93209096
2014,,0.30705835
2015,,0.911577028
2016,,0.300725651
2017,,0.88665845
1996,Karl,0.744546199
1997,Karl,2.218393439
1998,Karl,0.0
1999,Karl,0.724186377
2000,Karl,2.86399599
2001,Karl,1.409741312
2002,Karl,2.788428024
2003,Karl,0.0
2004,Karl,0.687753179
2005,Karl,2.038458925
2006,Karl,0.661366913
2007,Karl,1.277334968
2008,Karl,0.0
2009,Karl,0.617024952
2010,Karl,1.2505002
2011,Karl,1.249953127
2012,Karl,0.0
2013,Karl,1.238865695
2014,Karl,0.0
2015,Karl,1.816134539
2016,Karl,0.0
2017,Karl,0.584682488
1996,Kona,0.0
1997,Kona,0.0
1998,Kona,0.0
1999,Kona,0.726606891
2000,Kona,1.434884922
2001,Kona,0.0
2002,Kona,0.698689956
2003,Kona,0.0
2004,Kona,2.06655691
2005,Kona,0.0
2006,Kona,0.0
2007,Kona,0.0
2008,Kona,0.646985372
2009,Kona,0.0
2010,Kona,0.0
2011,Kona,0.631129849
2012,Kona,0.628097305
2013,Kona,0.623367556
2014,Kona,0.615941806
2015,Kona,0.0
2016,Kona,0.605110766
2017,Kona,1.195342944
