Year,Kyn,Aldur,Gerandi,Value
2018,Karl,'20',Fullorðinn,5.963302752
2018,Karl,'19',Fullorðinn,3.816793893
2018,Karl,'18',Fullorðinn,2.838221381
2018,Karl,'17',Fullorðinn,2.96
2018,Karl,'16',Fullorðinn,4.160887656
2018,Karl,'20',Jafnaldri,7.339449541
2018,Karl,'19',Jafnaldri,4.580152672
2018,Karl,'18',Jafnaldri,4.824976348
2018,Karl,'17',Jafnaldri,4.08
2018,Karl,'16',Jafnaldri,4.993065187
2018,Kona,'20',Fullorðinn,20.80536913
2018,Kona,'19',Fullorðinn,15.61181435
2018,Kona,'18',Fullorðinn,8.868999186
2018,Kona,'17',Fullorðinn,5.796038151
2018,Kona,'16',Fullorðinn,5.422853454
2018,Kona,'20',Jafnaldri,22.81879195
2018,Kona,'19',Jafnaldri,17.72151899
2018,Kona,'18',Jafnaldri,13.91375102
2018,Kona,'17',Jafnaldri,14.74688188
2018,Kona,'16',Jafnaldri,12.97611362
2020,Karl,'16',Fullorðinn,2.398081535
2020,Karl,'15',Fullorðinn,1.742160279
2020,Karl,'14',Fullorðinn,1.398601399
2020,Karl,'16',Jafnaldri,2.637889688
2020,Karl,'15',Jafnaldri,2.729384437
2020,Karl,'14',Jafnaldri,2.097902098
2020,Kona,'16',Fullorðinn,4.918032787
2020,Kona,'15',Fullorðinn,4.575163399
2020,Kona,'14',Fullorðinn,3.551609323
2020,Kona,'16',Jafnaldri,10.18799272
2020,Kona,'15',Jafnaldri,9.602845287
2020,Kona,'14',Jafnaldri,5.155210643
