Year,Staða,Value
2021,Hatursglæpir sem skráðir eru hjá lögreglu,15
2020,Hatursglæpir sem skráðir eru hjá lögreglu,4
2020,Lögsótt,0
2020,Sakfellt,0
2019,Hatursglæpir sem skráðir eru hjá lögreglu,11
2019,Lögsótt,0
2019,Sakfellt,0
2018,Hatursglæpir sem skráðir eru hjá lögreglu,7
2018,Lögsótt,1
2018,Sakfellt,2
2017,Hatursglæpir sem skráðir eru hjá lögreglu,14
2017,Lögsótt,1
2017,Sakfellt,3
2016,Hatursglæpir sem skráðir eru hjá lögreglu,6
2016,Lögsótt,0
2016,Sakfellt,0
2015,Hatursglæpir sem skráðir eru hjá lögreglu,10
2014,Hatursglæpir sem skráðir eru hjá lögreglu,8
