Year,Tekjur,Value
1998,Skattekjur,31.0
1999,Skattekjur,33.22
2000,Skattekjur,33.18
2001,Skattekjur,31.45
2002,Skattekjur,31.11
2003,Skattekjur,32.34
2004,Skattekjur,33.38
2005,Skattekjur,36.32
2006,Skattekjur,37.01
2007,Skattekjur,35.79
2008,Skattekjur,31.94
2009,Skattekjur,28.43
2010,Skattekjur,28.57
2011,Skattekjur,29.53
2012,Skattekjur,30.49
2013,Skattekjur,30.95
2014,Skattekjur,33.8
2015,Skattekjur,31.92
2016,Skattekjur,47.38
2017,Skattekjur,34.18
2018,Skattekjur,33.41
1998,Tryggingagjöld,2.67
1999,Tryggingagjöld,2.74
2000,Tryggingagjöld,2.78
2001,Tryggingagjöld,2.74
2002,Tryggingagjöld,2.75
2003,Tryggingagjöld,2.98
2004,Tryggingagjöld,2.92
2005,Tryggingagjöld,3.1
2006,Tryggingagjöld,3.18
2007,Tryggingagjöld,2.87
2008,Tryggingagjöld,2.64
2009,Tryggingagjöld,2.82
2010,Tryggingagjöld,3.8
2011,Tryggingagjöld,3.8
2012,Tryggingagjöld,3.52
2013,Tryggingagjöld,3.57
2014,Tryggingagjöld,3.54
2015,Tryggingagjöld,3.47
2016,Tryggingagjöld,3.43
2017,Tryggingagjöld,3.43
2018,Tryggingagjöld,3.49
1998,Fjárframlög,0.07
1999,Fjárframlög,0.08
2000,Fjárframlög,0.09
2001,Fjárframlög,0.11
2002,Fjárframlög,0.08
2003,Fjárframlög,0.12
2004,Fjárframlög,0.13
2005,Fjárframlög,0.11
2006,Fjárframlög,0.11
2007,Fjárframlög,0.08
2008,Fjárframlög,0.1
2009,Fjárframlög,0.13
2010,Fjárframlög,0.14
2011,Fjárframlög,0.17
2012,Fjárframlög,0.2
2013,Fjárframlög,0.15
2014,Fjárframlög,0.12
2015,Fjárframlög,0.12
2016,Fjárframlög,0.12
2017,Fjárframlög,0.11
2018,Fjárframlög,0.12
1998,Aðrar tekjur,6.27
1999,Aðrar tekjur,6.14
2000,Aðrar tekjur,6.13
2001,Aðrar tekjur,6.25
2002,Aðrar tekjur,6.12
2003,Aðrar tekjur,5.77
2004,Aðrar tekjur,5.82
2005,Aðrar tekjur,6.23
2006,Aðrar tekjur,6.22
2007,Aðrar tekjur,6.72
2008,Aðrar tekjur,6.96
2009,Aðrar tekjur,6.53
2010,Aðrar tekjur,5.81
2011,Aðrar tekjur,5.32
2012,Aðrar tekjur,6.0
2013,Aðrar tekjur,5.96
2014,Aðrar tekjur,6.28
2015,Aðrar tekjur,5.07
2016,Aðrar tekjur,6.01
2017,Aðrar tekjur,5.84
2018,Aðrar tekjur,5.78
