Year,Sjúkdómur,Value
1996,Krabbamein,202.64
1997,Krabbamein,197.13
1998,Krabbamein,185.77
1999,Krabbamein,192.59
2000,Krabbamein,179.18
2001,Krabbamein,173.63
2002,Krabbamein,180.06
2003,Krabbamein,174.02
2004,Krabbamein,179.65
2005,Krabbamein,178.83
2006,Krabbamein,168.06
2007,Krabbamein,190.14
2008,Krabbamein,180.37
2009,Krabbamein,180.67
2010,Krabbamein,183.55
2011,Krabbamein,187.47
2012,Krabbamein,185.56
2013,Krabbamein,185.8
2014,Krabbamein,192.53
2015,Krabbamein,184.75
2016,Krabbamein,204.79
2017,Krabbamein,176.74
2018,Krabbamein,169.9
2019,Krabbamein,179.84
2020,Krabbamein,173.29
1996,Sykursýki,8.21
1997,Sykursýki,5.56
1998,Sykursýki,9.2
1999,Sykursýki,9.18
2000,Sykursýki,6.81
2001,Sykursýki,9.53
2002,Sykursýki,5.23
2003,Sykursýki,7.97
2004,Sykursýki,7.23
2005,Sykursýki,7.15
2006,Sykursýki,9.0
2007,Sykursýki,8.45
2008,Sykursýki,8.24
2009,Sykursýki,8.45
2010,Sykursýki,7.56
2011,Sykursýki,5.97
2012,Sykursýki,7.2
2013,Sykursýki,10.25
2014,Sykursýki,8.29
2015,Sykursýki,6.99
2016,Sykursýki,9.62
2017,Sykursýki,10.94
2018,Sykursýki,10.62
2019,Sykursýki,8.4
2020,Sykursýki,9.06
1996,Hjarta- og æðasjúkdómar,288.48
1997,Hjarta- og æðasjúkdómar,280.87
1998,Hjarta- og æðasjúkdómar,271.68
1999,Hjarta- og æðasjúkdómar,287.26
2000,Hjarta- og æðasjúkdómar,256.94
2001,Hjarta- og æðasjúkdómar,240.68
2002,Hjarta- og æðasjúkdómar,259.97
2003,Hjarta- og æðasjúkdómar,253.41
2004,Hjarta- og æðasjúkdómar,251.92
2005,Hjarta- og æðasjúkdómar,223.45
2006,Hjarta- og æðasjúkdómar,238.75
2007,Hjarta- og æðasjúkdómar,223.94
2008,Hjarta- og æðasjúkdómar,223.8
2009,Hjarta- og æðasjúkdómar,228.26
2010,Hjarta- og æðasjúkdómar,227.94
2011,Hjarta- og æðasjúkdómar,216.36
2012,Hjarta- og æðasjúkdómar,205.27
2013,Hjarta- og æðasjúkdómar,221.22
2014,Hjarta- og æðasjúkdómar,206.96
2015,Hjarta- og æðasjúkdómar,226.68
2016,Hjarta- og æðasjúkdómar,221.63
2017,Hjarta- og æðasjúkdómar,204.52
2018,Hjarta- og æðasjúkdómar,188.26
2019,Hjarta- og æðasjúkdómar,196.36
2020,Hjarta- og æðasjúkdómar,187.84
1996,langvinnir öndunarfærasjúkdómar,36.57
1997,langvinnir öndunarfærasjúkdómar,27.42
1998,langvinnir öndunarfærasjúkdómar,30.84
1999,langvinnir öndunarfærasjúkdómar,33.73
2000,langvinnir öndunarfærasjúkdómar,32.61
2001,langvinnir öndunarfærasjúkdómar,28.59
2002,langvinnir öndunarfærasjúkdómar,33.15
2003,langvinnir öndunarfærasjúkdómar,31.2
2004,langvinnir öndunarfærasjúkdómar,28.91
2005,langvinnir öndunarfærasjúkdómar,31.34
2006,langvinnir öndunarfærasjúkdómar,31.34
2007,langvinnir öndunarfærasjúkdómar,34.78
2008,langvinnir öndunarfærasjúkdómar,30.75
2009,langvinnir öndunarfærasjúkdómar,36.32
2010,langvinnir öndunarfærasjúkdómar,37.78
2011,langvinnir öndunarfærasjúkdómar,32.03
2012,langvinnir öndunarfærasjúkdómar,31.29
2013,langvinnir öndunarfærasjúkdómar,32.62
2014,langvinnir öndunarfærasjúkdómar,29.78
2015,langvinnir öndunarfærasjúkdómar,31.3
2016,langvinnir öndunarfærasjúkdómar,36.09
2017,langvinnir öndunarfærasjúkdómar,39.9
2018,langvinnir öndunarfærasjúkdómar,40.18
2019,langvinnir öndunarfærasjúkdómar,28.29
2020,langvinnir öndunarfærasjúkdómar,31.86
1996,,535.9
1997,,510.98
1998,,497.46
1999,,522.65
2000,,475.54
2001,,452.43
2002,,478.41
2003,,466.6
2004,,467.7
2005,,440.77
2006,,447.16
2007,,457.31
2008,,443.16
2009,,453.71
2010,,456.82
2011,,441.82
2012,,429.32
2013,,449.89
2014,,437.56
2015,,449.71
2016,,472.14
2017,,432.1
2018,,408.95
2019,,412.9
2020,,402.05
