Year,Hópur,Value
1989,Aldrei reykt,36.3
1989,Hætt að reykja,27.1
1989,Reyki sjaldnar en daglega,3.7
1989,Reyki daglega,32.9
1990,Aldrei reykt,38.9
1990,Hætt að reykja,25.8
1990,Reyki sjaldnar en daglega,3.9
1990,Reyki daglega,31.4
1991,Aldrei reykt,39.2
1991,Hætt að reykja,26.0
1991,Reyki sjaldnar en daglega,2.8
1991,Reyki daglega,32.0
1992,Aldrei reykt,38.5
1992,Hætt að reykja,26.6
1992,Reyki sjaldnar en daglega,4.3
1992,Reyki daglega,30.6
1993,Aldrei reykt,42.2
1993,Hætt að reykja,27.4
1993,Reyki sjaldnar en daglega,2.7
1993,Reyki daglega,27.7
1994,Aldrei reykt,40.0
1994,Hætt að reykja,28.1
1994,Reyki sjaldnar en daglega,3.4
1994,Reyki daglega,28.5
1995,Aldrei reykt,39.8
1995,Hætt að reykja,26.8
1995,Reyki sjaldnar en daglega,5.7
1995,Reyki daglega,27.7
1996,Aldrei reykt,39.4
1996,Hætt að reykja,28.0
1996,Reyki sjaldnar en daglega,3.4
1996,Reyki daglega,29.3
1997,Aldrei reykt,40.8
1997,Hætt að reykja,27.0
1997,Reyki sjaldnar en daglega,3.8
1997,Reyki daglega,28.3
1998,Aldrei reykt,39.5
1998,Hætt að reykja,29.5
1998,Reyki sjaldnar en daglega,4.7
1998,Reyki daglega,26.3
1999,Aldrei reykt,40.5
1999,Hætt að reykja,28.0
1999,Reyki sjaldnar en daglega,5.4
1999,Reyki daglega,26.2
2000,Aldrei reykt,45.0
2000,Hætt að reykja,27.5
2000,Reyki sjaldnar en daglega,3.6
2000,Reyki daglega,23.9
2001,Aldrei reykt,42.5
2001,Hætt að reykja,29.9
2001,Reyki sjaldnar en daglega,3.2
2001,Reyki daglega,24.4
2002,Aldrei reykt,45.4
2002,Hætt að reykja,27.9
2002,Reyki sjaldnar en daglega,4.1
2002,Reyki daglega,22.6
2003,Aldrei reykt,41.9
2003,Hætt að reykja,31.2
2003,Reyki sjaldnar en daglega,3.5
2003,Reyki daglega,23.3
2004,Aldrei reykt,43.1
2004,Hætt að reykja,31.5
2004,Reyki sjaldnar en daglega,4.5
2004,Reyki daglega,20.8
2005,Aldrei reykt,44.5
2005,Hætt að reykja,31.8
2005,Reyki sjaldnar en daglega,3.8
2005,Reyki daglega,20.0
2006,Aldrei reykt,43.6
2006,Hætt að reykja,32.9
2006,Reyki sjaldnar en daglega,3.4
2006,Reyki daglega,20.1
2007,Aldrei reykt,44.9
2007,Hætt að reykja,31.5
2007,Reyki sjaldnar en daglega,3.6
2007,Reyki daglega,19.9
2008,Aldrei reykt,44.4
2008,Hætt að reykja,33.8
2008,Reyki sjaldnar en daglega,3.4
2008,Reyki daglega,18.3
2009,Aldrei reykt,46.2
2009,Hætt að reykja,34.5
2009,Reyki sjaldnar en daglega,3.1
2009,Reyki daglega,16.2
2010,Aldrei reykt,47.4
2010,Hætt að reykja,33.9
2010,Reyki sjaldnar en daglega,3.9
2010,Reyki daglega,14.8
2011,Aldrei reykt,46.7
2011,Hætt að reykja,34.2
2011,Reyki sjaldnar en daglega,4.5
2011,Reyki daglega,14.6
2012,Aldrei reykt,49.5
2012,Hætt að reykja,32.9
2012,Reyki sjaldnar en daglega,3.3
2012,Reyki daglega,14.2
2013,Aldrei reykt,45.5
2013,Hætt að reykja,37.2
2013,Reyki sjaldnar en daglega,5.3
2013,Reyki daglega,12.0
2014,Aldrei reykt,46.0
2014,Hætt að reykja,37.9
2014,Reyki sjaldnar en daglega,3.6
2014,Reyki daglega,12.6
2015,Aldrei reykt,47.7
2015,Hætt að reykja,37.8
2015,Reyki sjaldnar en daglega,3.5
2015,Reyki daglega,11.0
2016,Aldrei reykt,48.5
2016,Hætt að reykja,37.1
2016,Reyki sjaldnar en daglega,4.2
2016,Reyki daglega,10.3
2017,Aldrei reykt,50.2
2017,Hætt að reykja,36.7
2017,Reyki sjaldnar en daglega,3.5
2017,Reyki daglega,9.5
2018,Aldrei reykt,51.6
2018,Hætt að reykja,35.8
2018,Reyki sjaldnar en daglega,3.8
2018,Reyki daglega,8.7
2019,Aldrei reykt,52.2
2019,Hætt að reykja,36.4
2019,Reyki sjaldnar en daglega,3.1
2019,Reyki daglega,8.3
2020,Aldrei reykt,51.6
2020,Hætt að reykja,37.8
2020,Reyki sjaldnar en daglega,3.3
2020,Reyki daglega,7.4
