Year,Starfsgrein,Value
1981,Lífeindafræðingar,1161.0
1982,Lífeindafræðingar,1143.0
1983,Lífeindafræðingar,1041.0
1984,Lífeindafræðingar,1042.0
1985,Lífeindafræðingar,1067.0
1986,Lífeindafræðingar,1163.0
1987,Lífeindafræðingar,1120.0
1988,Lífeindafræðingar,1058.0
1989,Lífeindafræðingar,1027.0
1990,Lífeindafræðingar,1084.0
1991,Lífeindafræðingar,1031.0
1992,Lífeindafræðingar,914.0
1993,Lífeindafræðingar,924.0
1994,Lífeindafræðingar,927.0
1995,Lífeindafræðingar,
1996,Lífeindafræðingar,
1997,Lífeindafræðingar,923.0
1998,Lífeindafræðingar,951.0
1999,Lífeindafræðingar,936.0
2000,Lífeindafræðingar,970.0
2001,Lífeindafræðingar,978.0
2002,Lífeindafræðingar,998.0
2003,Lífeindafræðingar,
2004,Lífeindafræðingar,982.0
2005,Lífeindafræðingar,996.0
2006,Lífeindafræðingar,1026.0
2007,Lífeindafræðingar,1099.0
2008,Lífeindafræðingar,1079.0
2009,Lífeindafræðingar,1062.0
2010,Lífeindafræðingar,1034.0
2011,Lífeindafræðingar,1069.0
2012,Lífeindafræðingar,1084.0
2013,Lífeindafræðingar,1071.0
2014,Lífeindafræðingar,1065.0
2015,Lífeindafræðingar,1105.0
2016,Lífeindafræðingar,1200.0
2017,Lífeindafræðingar,1267.0
2018,Lífeindafræðingar,1257.0
1981,Tannfræðingar,
1982,Tannfræðingar,
1983,Tannfræðingar,
1984,Tannfræðingar,
1985,Tannfræðingar,
1986,Tannfræðingar,
1987,Tannfræðingar,
1988,Tannfræðingar,
1989,Tannfræðingar,
1990,Tannfræðingar,
1991,Tannfræðingar,
1992,Tannfræðingar,
1993,Tannfræðingar,
1994,Tannfræðingar,
1995,Tannfræðingar,
1996,Tannfræðingar,
1997,Tannfræðingar,
1998,Tannfræðingar,
1999,Tannfræðingar,
2000,Tannfræðingar,
2001,Tannfræðingar,
2002,Tannfræðingar,
2003,Tannfræðingar,
2004,Tannfræðingar,
2005,Tannfræðingar,11996.0
2006,Tannfræðingar,16193.0
2007,Tannfræðingar,16603.0
2008,Tannfræðingar,17743.0
2009,Tannfræðingar,22688.0
2010,Tannfræðingar,22747.0
2011,Tannfræðingar,21305.0
2012,Tannfræðingar,22990.0
2013,Tannfræðingar,23262.0
2014,Tannfræðingar,23507.0
2015,Tannfræðingar,25579.0
2016,Tannfræðingar,26027.0
2017,Tannfræðingar,29038.0
2018,Tannfræðingar,29749.0
1981,Tanntæknar og aðstoðarfólk tannlækna,
1982,Tanntæknar og aðstoðarfólk tannlækna,
1983,Tanntæknar og aðstoðarfólk tannlækna,
1984,Tanntæknar og aðstoðarfólk tannlækna,
1985,Tanntæknar og aðstoðarfólk tannlækna,
1986,Tanntæknar og aðstoðarfólk tannlækna,
1987,Tanntæknar og aðstoðarfólk tannlækna,
1988,Tanntæknar og aðstoðarfólk tannlækna,
1989,Tanntæknar og aðstoðarfólk tannlækna,
1990,Tanntæknar og aðstoðarfólk tannlækna,
1991,Tanntæknar og aðstoðarfólk tannlækna,
1992,Tanntæknar og aðstoðarfólk tannlækna,
1993,Tanntæknar og aðstoðarfólk tannlækna,
1994,Tanntæknar og aðstoðarfólk tannlækna,
1995,Tanntæknar og aðstoðarfólk tannlækna,
1996,Tanntæknar og aðstoðarfólk tannlækna,
1997,Tanntæknar og aðstoðarfólk tannlækna,
1998,Tanntæknar og aðstoðarfólk tannlækna,
1999,Tanntæknar og aðstoðarfólk tannlækna,
2000,Tanntæknar og aðstoðarfólk tannlækna,
2001,Tanntæknar og aðstoðarfólk tannlækna,
2002,Tanntæknar og aðstoðarfólk tannlækna,
2003,Tanntæknar og aðstoðarfólk tannlækna,
2004,Tanntæknar og aðstoðarfólk tannlækna,969.0
2005,Tanntæknar og aðstoðarfólk tannlækna,996.0
2006,Tanntæknar og aðstoðarfólk tannlækna,1036.0
2007,Tanntæknar og aðstoðarfólk tannlækna,1095.0
2008,Tanntæknar og aðstoðarfólk tannlækna,
2009,Tanntæknar og aðstoðarfólk tannlækna,
2010,Tanntæknar og aðstoðarfólk tannlækna,1027.0
2011,Tanntæknar og aðstoðarfólk tannlækna,999.0
2012,Tanntæknar og aðstoðarfólk tannlækna,1006.0
2013,Tanntæknar og aðstoðarfólk tannlækna,1071.0
2014,Tanntæknar og aðstoðarfólk tannlækna,1025.0
2015,Tanntæknar og aðstoðarfólk tannlækna,1056.0
2016,Tanntæknar og aðstoðarfólk tannlækna,1041.0
2017,Tanntæknar og aðstoðarfólk tannlækna,1162.0
2018,Tanntæknar og aðstoðarfólk tannlækna,1322.0
1981,Tannlæknar,1319.0
1982,Tannlæknar,1309.0
1983,Tannlæknar,1248.0
1984,Tannlæknar,1247.0
1985,Tannlæknar,1229.0
1986,Tannlæknar,1191.0
1987,Tannlæknar,1162.0
1988,Tannlæknar,1172.0
1989,Tannlæknar,1159.0
1990,Tannlæknar,1112.0
1991,Tannlæknar,1078.0
1992,Tannlæknar,1021.0
1993,Tannlæknar,1004.0
1994,Tannlæknar,978.0
1995,Tannlæknar,992.0
1996,Tannlæknar,974.0
1997,Tannlæknar,959.0
1998,Tannlæknar,1017.0
1999,Tannlæknar,1004.0
2000,Tannlæknar,1001.0
2001,Tannlæknar,1006.0
2002,Tannlæknar,1002.0
2003,Tannlæknar,1009.0
2004,Tannlæknar,1023.0
2005,Tannlæknar,1038.0
2006,Tannlæknar,1076.0
2007,Tannlæknar,1073.0
2008,Tannlæknar,1061.0
2009,Tannlæknar,1080.0
2010,Tannlæknar,1065.0
2011,Tannlæknar,1129.0
2012,Tannlæknar,1192.0
2013,Tannlæknar,1197.0
2014,Tannlæknar,1201.0
2015,Tannlæknar,1196.0
2016,Tannlæknar,1217.0
2017,Tannlæknar,1249.0
2018,Tannlæknar,1235.0
1981,Heilbrigðisfulltrúar,8292.0
1982,Heilbrigðisfulltrúar,8724.0
1983,Heilbrigðisfulltrúar,10366.0
1984,Heilbrigðisfulltrúar,9624.0
1985,Heilbrigðisfulltrúar,7569.0
1986,Heilbrigðisfulltrúar,8139.0
1987,Heilbrigðisfulltrúar,9169.0
1988,Heilbrigðisfulltrúar,8687.0
1989,Heilbrigðisfulltrúar,9399.0
1990,Heilbrigðisfulltrúar,9477.0
1991,Heilbrigðisfulltrúar,9276.0
1992,Heilbrigðisfulltrúar,9371.0
1993,Heilbrigðisfulltrúar,9467.0
1994,Heilbrigðisfulltrúar,9535.0
1995,Heilbrigðisfulltrúar,9570.0
1996,Heilbrigðisfulltrúar,6747.0
1997,Heilbrigðisfulltrúar,6810.0
1998,Heilbrigðisfulltrúar,6893.0
1999,Heilbrigðisfulltrúar,7155.0
2000,Heilbrigðisfulltrúar,6747.0
2001,Heilbrigðisfulltrúar,
2002,Heilbrigðisfulltrúar,
2003,Heilbrigðisfulltrúar,
2004,Heilbrigðisfulltrúar,
2005,Heilbrigðisfulltrúar,5767.0
2006,Heilbrigðisfulltrúar,5805.0
2007,Heilbrigðisfulltrúar,6067.0
2008,Heilbrigðisfulltrúar,5807.0
2009,Heilbrigðisfulltrúar,5993.0
2010,Heilbrigðisfulltrúar,5897.0
2011,Heilbrigðisfulltrúar,5918.0
2012,Heilbrigðisfulltrúar,5960.0
2013,Heilbrigðisfulltrúar,6031.0
2014,Heilbrigðisfulltrúar,5877.0
2015,Heilbrigðisfulltrúar,6274.0
2016,Heilbrigðisfulltrúar,5936.0
2017,Heilbrigðisfulltrúar,6222.0
2018,Heilbrigðisfulltrúar,6051.0
1981,Aðstoðarlyfjafræðingar,4073.0
1982,Aðstoðarlyfjafræðingar,4132.0
1983,Aðstoðarlyfjafræðingar,4257.0
1984,Aðstoðarlyfjafræðingar,4718.0
1985,Aðstoðarlyfjafræðingar,4658.0
1986,Aðstoðarlyfjafræðingar,4787.0
1987,Aðstoðarlyfjafræðingar,4951.0
1988,Aðstoðarlyfjafræðingar,5038.0
1989,Aðstoðarlyfjafræðingar,5287.0
1990,Aðstoðarlyfjafræðingar,5686.0
1991,Aðstoðarlyfjafræðingar,6493.0
1992,Aðstoðarlyfjafræðingar,5831.0
1993,Aðstoðarlyfjafræðingar,6024.0
1994,Aðstoðarlyfjafræðingar,6357.0
1995,Aðstoðarlyfjafræðingar,6380.0
1996,Aðstoðarlyfjafræðingar,5867.0
1997,Aðstoðarlyfjafræðingar,5921.0
1998,Aðstoðarlyfjafræðingar,6565.0
1999,Aðstoðarlyfjafræðingar,6644.0
2000,Aðstoðarlyfjafræðingar,7084.0
2001,Aðstoðarlyfjafræðingar,7348.0
2002,Aðstoðarlyfjafræðingar,7397.0
2003,Aðstoðarlyfjafræðingar,7647.0
2004,Aðstoðarlyfjafræðingar,8635.0
2005,Aðstoðarlyfjafræðingar,9088.0
2006,Aðstoðarlyfjafræðingar,10609.0
2007,Aðstoðarlyfjafræðingar,10878.0
2008,Aðstoðarlyfjafræðingar,11828.0
2009,Aðstoðarlyfjafræðingar,14438.0
2010,Aðstoðarlyfjafræðingar,13846.0
2011,Aðstoðarlyfjafræðingar,13895.0
2012,Aðstoðarlyfjafræðingar,15327.0
2013,Aðstoðarlyfjafræðingar,19157.0
2014,Aðstoðarlyfjafræðingar,21940.0
2015,Aðstoðarlyfjafræðingar,22169.0
2016,Aðstoðarlyfjafræðingar,22557.0
2017,Aðstoðarlyfjafræðingar,23230.0
2018,Aðstoðarlyfjafræðingar,23799.0
1981,Ljósmæður,1407.0
1982,Ljósmæður,1338.0
1983,Ljósmæður,1282.0
1984,Ljósmæður,1273.0
1985,Ljósmæður,1281.0
1986,Ljósmæður,1292.0
1987,Ljósmæður,1368.0
1988,Ljósmæður,1340.0
1989,Ljósmæður,1275.0
1990,Ljósmæður,1267.0
1991,Ljósmæður,1318.0
1992,Ljósmæður,1312.0
1993,Ljósmæður,1359.0
1994,Ljósmæður,1376.0
1995,Ljósmæður,
1996,Ljósmæður,
1997,Ljósmæður,1348.0
1998,Ljósmæður,1332.0
1999,Ljósmæður,1335.0
2000,Ljósmæður,1376.0
2001,Ljósmæður,1309.0
2002,Ljósmæður,1387.0
2003,Ljósmæður,1345.0
2004,Ljósmæður,1311.0
2005,Ljósmæður,1293.0
2006,Ljósmæður,1282.0
2007,Ljósmæður,1288.0
2008,Ljósmæður,1277.0
2009,Ljósmæður,1271.0
2010,Ljósmæður,1274.0
2011,Ljósmæður,1150.0
2012,Ljósmæður,1257.0
2013,Ljósmæður,1234.0
2014,Ljósmæður,1219.0
2015,Ljósmæður,1209.0
2016,Ljósmæður,1277.0
2017,Ljósmæður,1267.0
2018,Ljósmæður,1253.0
1981,Hjúkrunarfræðingar,184.0
1982,Hjúkrunarfræðingar,172.0
1983,Hjúkrunarfræðingar,164.0
1984,Hjúkrunarfræðingar,158.0
1985,Hjúkrunarfræðingar,155.0
1986,Hjúkrunarfræðingar,147.0
1987,Hjúkrunarfræðingar,145.0
1988,Hjúkrunarfræðingar,147.0
1989,Hjúkrunarfræðingar,147.0
1990,Hjúkrunarfræðingar,143.0
1991,Hjúkrunarfræðingar,143.0
1992,Hjúkrunarfræðingar,141.0
1993,Hjúkrunarfræðingar,139.0
1994,Hjúkrunarfræðingar,137.0
1995,Hjúkrunarfræðingar,132.0
1996,Hjúkrunarfræðingar,132.0
1997,Hjúkrunarfræðingar,131.0
1998,Hjúkrunarfræðingar,125.0
1999,Hjúkrunarfræðingar,126.0
2000,Hjúkrunarfræðingar,127.0
2001,Hjúkrunarfræðingar,123.0
2002,Hjúkrunarfræðingar,123.0
2003,Hjúkrunarfræðingar,117.0
2004,Hjúkrunarfræðingar,116.0
2005,Hjúkrunarfræðingar,118.0
2006,Hjúkrunarfræðingar,120.0
2007,Hjúkrunarfræðingar,116.0
2008,Hjúkrunarfræðingar,117.0
2009,Hjúkrunarfræðingar,118.0
2010,Hjúkrunarfræðingar,120.0
2011,Hjúkrunarfræðingar,116.0
2012,Hjúkrunarfræðingar,111.0
2013,Hjúkrunarfræðingar,108.0
2014,Hjúkrunarfræðingar,109.0
2015,Hjúkrunarfræðingar,108.0
