Year,Jöfnuðarvísir,Value
2001,Lestrarfærni við 9 ára aldur,1.05455
2003,Lestrarfærni við 15 ára aldur,1.19212
2003,Reiknifærni við 15 ára aldur,1.07602
2006,Lestrarfærni við 15 ára aldur,1.18022
2006,Reiknifærni við 15 ára aldur,1.03638
2006,Lestrarfærni við 9 ára aldur,1.04832
2009,Lestrarfærni við 15 ára aldur,1.15476
2009,Reiknifærni við 15 ára aldur,1.02189
2012,Lestrarfærni við 15 ára aldur,1.20181
2012,Reiknifærni við 15 ára aldur,1.04393
2015,Lestrarfærni við 15 ára aldur,1.15673
2015,Reiknifærni við 15 ára aldur,1.02099
2018,Lestrarfærni við 15 ára aldur,1.173913043
2018,Reiknifærni við 15 ára aldur,1.064935065
2001,Þáttökuhlutfall í formlegu námi,1.476608179
2002,Þáttökuhlutfall í formlegu námi,1.510918491
2003,Þáttökuhlutfall í formlegu námi,1.539643533
2004,Þáttökuhlutfall í formlegu námi,1.545226807
2005,Þáttökuhlutfall í formlegu námi,1.538862382
2006,Þáttökuhlutfall í formlegu námi,1.575165237
2007,Þáttökuhlutfall í formlegu námi,1.565625452
2008,Þáttökuhlutfall í formlegu námi,1.597303769
2009,Þáttökuhlutfall í formlegu námi,1.503791445
2010,Þáttökuhlutfall í formlegu námi,1.428274772
2011,Þáttökuhlutfall í formlegu námi,1.424932307
2012,Þáttökuhlutfall í formlegu námi,1.380823833
2013,Þáttökuhlutfall í formlegu námi,1.376842301
2014,Þáttökuhlutfall í formlegu námi,1.367470236
2015,Þáttökuhlutfall í formlegu námi,1.391559491
2016,Þáttökuhlutfall í formlegu námi,1.377474928
2017,Þáttökuhlutfall í formlegu námi,1.401213342
2018,Þáttökuhlutfall í formlegu námi,1.451985167
2003,Þáttökuhlutfall í óformlegu námi,1.602995962
2004,Þáttökuhlutfall í óformlegu námi,1.624759366
2005,Þáttökuhlutfall í óformlegu námi,1.607892463
2006,Þáttökuhlutfall í óformlegu námi,1.648218584
2007,Þáttökuhlutfall í óformlegu námi,1.627773471
2008,Þáttökuhlutfall í óformlegu námi,1.694661602
2009,Þáttökuhlutfall í óformlegu námi,1.702505128
2010,Þáttökuhlutfall í óformlegu námi,1.685886947
2011,Þáttökuhlutfall í óformlegu námi,1.570723084
2012,Þáttökuhlutfall í óformlegu námi,1.502161326
2013,Þáttökuhlutfall í óformlegu námi,1.48993202
2014,Þáttökuhlutfall í óformlegu námi,1.540351912
2015,Þáttökuhlutfall í óformlegu námi,1.493418726
2016,Þáttökuhlutfall í óformlegu námi,1.426471699
2017,Þáttökuhlutfall í óformlegu námi,1.471199277
2018,Þáttökuhlutfall í óformlegu námi,1.534669329
