Year,Þjónusta,Value
2004,Fjöldi viðskiptabankaútibúa,90.9
2005,Fjöldi viðskiptabankaútibúa,86.18
2006,Fjöldi viðskiptabankaútibúa,77.58
2007,Fjöldi viðskiptabankaútibúa,73.31
2008,Fjöldi viðskiptabankaútibúa,69.68
2009,Fjöldi viðskiptabankaútibúa,60.84
2010,Fjöldi viðskiptabankaútibúa,57.56
2011,Fjöldi viðskiptabankaútibúa,52.21
2012,Fjöldi viðskiptabankaútibúa,47.15
2013,Fjöldi viðskiptabankaútibúa,43.14
2014,Fjöldi viðskiptabankaútibúa,40.3
2015,Fjöldi viðskiptabankaútibúa,36.42
2016,Fjöldi viðskiptabankaútibúa,35.47
2017,Fjöldi viðskiptabankaútibúa,34.58
2018,Fjöldi viðskiptabankaútibúa,31.47
2019,Fjöldi viðskiptabankaútibúa,30.37
2020,Fjöldi viðskiptabankaútibúa,28.11
2004,Fjöldi hraðbanka,105.9
2005,Fjöldi hraðbanka,111.29
2006,Fjöldi hraðbanka,106.25
2007,Fjöldi hraðbanka,106.48
2008,Fjöldi hraðbanka,101.71
2009,Fjöldi hraðbanka,79.14
2010,Fjöldi hraðbanka,81.38
2011,Fjöldi hraðbanka,75.94
2012,Fjöldi hraðbanka,73.87
2013,Fjöldi hraðbanka,76.18
2014,Fjöldi hraðbanka,78.69
2015,Fjöldi hraðbanka,73.59
2016,Fjöldi hraðbanka,88.85
2017,Fjöldi hraðbanka,88.81
2018,Fjöldi hraðbanka,86.29
2019,Fjöldi hraðbanka,78.01
2020,Fjöldi hraðbanka,59.61
