Year,Flokkur,Value
2000,Innlend efnisnotkun (DMC) [Kílótonn],7762.45
2001,Innlend efnisnotkun (DMC) [Kílótonn],7241.14
2002,Innlend efnisnotkun (DMC) [Kílótonn],6570.38
2003,Innlend efnisnotkun (DMC) [Kílótonn],7272.24
2004,Innlend efnisnotkun (DMC) [Kílótonn],17398.88
2005,Innlend efnisnotkun (DMC) [Kílótonn],13124.26
2006,Innlend efnisnotkun (DMC) [Kílótonn],16062.96
2007,Innlend efnisnotkun (DMC) [Kílótonn],16143.73
2008,Innlend efnisnotkun (DMC) [Kílótonn],18072.96
2009,Innlend efnisnotkun (DMC) [Kílótonn],16805.78
2010,Innlend efnisnotkun (DMC) [Kílótonn],10549.86
2011,Innlend efnisnotkun (DMC) [Kílótonn],6833.0
2012,Innlend efnisnotkun (DMC) [Kílótonn],7950.77
2013,Innlend efnisnotkun (DMC) [Kílótonn],9815.63
2014,Innlend efnisnotkun (DMC) [Kílótonn],7502.03
2015,Innlend efnisnotkun (DMC) [Kílótonn],7643.62
2016,Innlend efnisnotkun (DMC) [Kílótonn],10235.39
2017,Innlend efnisnotkun (DMC) [Kílótonn],8334.5
2018,Innlend efnisnotkun (DMC) [Kílótonn],8756.85
2019,Innlend efnisnotkun (DMC) [Kílótonn],7219.96
2020,Innlend efnisnotkun (DMC) [Kílótonn],6069.58
2000,DMC á íbúa [Kílótonn á íbúa],0.0278
2001,DMC á íbúa [Kílótonn á íbúa],0.0256
2002,DMC á íbúa [Kílótonn á íbúa],0.0229
2003,DMC á íbúa [Kílótonn á íbúa],0.0252
2004,DMC á íbúa [Kílótonn á íbúa],0.0599
2005,DMC á íbúa [Kílótonn á íbúa],0.0447
2006,DMC á íbúa [Kílótonn á íbúa],0.0536
2007,DMC á íbúa [Kílótonn á íbúa],0.0525
2008,DMC á íbúa [Kílótonn á íbúa],0.0573
2009,DMC á íbúa [Kílótonn á íbúa],0.0526
2010,DMC á íbúa [Kílótonn á íbúa],0.0332
2011,DMC á íbúa [Kílótonn á íbúa],0.0215
2012,DMC á íbúa [Kílótonn á íbúa],0.0249
2013,DMC á íbúa [Kílótonn á íbúa],0.0305
2014,DMC á íbúa [Kílótonn á íbúa],0.023
2015,DMC á íbúa [Kílótonn á íbúa],0.0232
2016,DMC á íbúa [Kílótonn á íbúa],0.0308
2017,DMC á íbúa [Kílótonn á íbúa],0.0246
2018,DMC á íbúa [Kílótonn á íbúa],0.0251
2019,DMC á íbúa [Kílótonn á íbúa],0.0202
2020,DMC á íbúa [Kílótonn á íbúa],0.0167
2000,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0109
2001,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.009
2002,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0077
2003,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0083
2004,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0179
2005,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0124
2006,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0131
2007,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0116
2008,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0114
2009,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0103
2010,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0063
2011,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0039
2012,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0043
2013,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.005
2014,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0036
2015,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0033
2016,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0041
2017,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0032
2018,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0031
2019,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0024
2020,DMC á verga landsframleiðslu [Kílótonn per milljón ISK],0.0021
