Year,Kyn,Atvinnugrein,Value
2008,,,1890
2009,,,1965
2010,,,2070
2011,,,2210
2012,,,2305
2013,,,2470
2014,,,2555
2015,,,2735
2016,,,3015
2017,,,3200
2018,,,3255
2019,,,3370
2020,,,3710
2008,Karl,,2110
2009,Karl,,2160
2010,Karl,,2270
2011,Karl,,2420
2012,Karl,,2520
2013,Karl,,2720
2014,Karl,,2780
2015,Karl,,2990
2016,Karl,,3270
2017,Karl,,3460
2018,Karl,,3490
2019,Karl,,3620
2020,Karl,,3960
2008,Kona,,1670
2009,Kona,,1770
2010,Kona,,1870
2011,Kona,,2000
2012,Kona,,2090
2013,Kona,,2220
2014,Kona,,2330
2015,Kona,,2480
2016,Kona,,2760
2017,Kona,,2940
2018,Kona,,3020
2019,Kona,,3120
2020,Kona,,3460
2008,Karl,Alls - án opinberrar stjórnsýslu (O),2080
2009,Karl,Alls - án opinberrar stjórnsýslu (O),2130
2010,Karl,Alls - án opinberrar stjórnsýslu (O),2240
2011,Karl,Alls - án opinberrar stjórnsýslu (O),2400
2012,Karl,Alls - án opinberrar stjórnsýslu (O),2490
2013,Karl,Alls - án opinberrar stjórnsýslu (O),2700
2014,Karl,Alls - án opinberrar stjórnsýslu (O),2760
2015,Karl,Alls - án opinberrar stjórnsýslu (O),2970
2016,Karl,Alls - án opinberrar stjórnsýslu (O),3230
2017,Karl,Alls - án opinberrar stjórnsýslu (O),3420
2018,Karl,Alls - án opinberrar stjórnsýslu (O),3440
2019,Karl,Alls - án opinberrar stjórnsýslu (O),3570
2020,Karl,Alls - án opinberrar stjórnsýslu (O),3910
2008,Kona,Alls - án opinberrar stjórnsýslu (O),1650
2009,Kona,Alls - án opinberrar stjórnsýslu (O),1750
2010,Kona,Alls - án opinberrar stjórnsýslu (O),1840
2011,Kona,Alls - án opinberrar stjórnsýslu (O),1960
2012,Kona,Alls - án opinberrar stjórnsýslu (O),2050
2013,Kona,Alls - án opinberrar stjórnsýslu (O),2190
2014,Kona,Alls - án opinberrar stjórnsýslu (O),2300
2015,Kona,Alls - án opinberrar stjórnsýslu (O),2450
2016,Kona,Alls - án opinberrar stjórnsýslu (O),2720
2017,Kona,Alls - án opinberrar stjórnsýslu (O),2900
2018,Kona,Alls - án opinberrar stjórnsýslu (O),2960
2019,Kona,Alls - án opinberrar stjórnsýslu (O),3060
2020,Kona,Alls - án opinberrar stjórnsýslu (O),3400
2008,Karl,Almennur vinnumarkaður,2090
2009,Karl,Almennur vinnumarkaður,2150
