Year,Banvænt/óbanvænt,Kyn,Þjóðerni,Value
1984,Alls,Bæði,Öll,344
1985,Alls,Bæði,Öll,358
1986,Alls,Bæði,Öll,381
1987,Alls,Bæði,Öll,405
1988,Alls,Bæði,Öll,421
1989,Alls,Bæði,Öll,444
1990,Alls,Bæði,Öll,763
1991,Alls,Bæði,Öll,668
1992,Alls,Bæði,Öll,673
1993,Alls,Bæði,Öll,670
1994,Alls,Bæði,Öll,673
1995,Alls,Bæði,Öll,884
1996,Alls,Bæði,Öll,1085
1997,Alls,Bæði,Öll,1237
1998,Alls,Bæði,Öll,1338
1999,Alls,Bæði,Öll,1361
2000,Alls,Bæði,Öll,1445
2001,Alls,Bæði,Öll,1419
2002,Alls,Bæði,Öll,1399
2003,Alls,Bæði,Öll,1482
2004,Alls,Bæði,Öll,1879
2005,Alls,Bæði,Öll,1636
2006,Alls,Bæði,Öll,1740
2007,Alls,Bæði,Öll,1926
2008,Alls,Bæði,Öll,1865
2009,Alls,Bæði,Öll,1367
2010,Alls,Bæði,Öll,1339
2011,Alls,Bæði,Öll,1557
2012,Alls,Bæði,Öll,1642
2013,Alls,Bæði,Öll,1802
2014,Alls,Bæði,Öll,1964
2015,Alls,Bæði,Öll,2064
2016,Alls,Bæði,Öll,2116
2017,Alls,Bæði,Öll,2122
2018,Alls,Bæði,Öll,2177
2019,Alls,Bæði,Öll,1699
1984,Banvænt,Bæði,Öll,5
1985,Banvænt,Bæði,Öll,6
1986,Banvænt,Bæði,Öll,5
1987,Banvænt,Bæði,Öll,4
1988,Banvænt,Bæði,Öll,1
1989,Banvænt,Bæði,Öll,7
1990,Banvænt,Bæði,Öll,5
1991,Banvænt,Bæði,Öll,9
1992,Banvænt,Bæði,Öll,4
1993,Banvænt,Bæði,Öll,4
1994,Banvænt,Bæði,Öll,8
1995,Banvænt,Bæði,Öll,3
1996,Banvænt,Bæði,Öll,3
1997,Banvænt,Bæði,Öll,4
1998,Banvænt,Bæði,Öll,2
1999,Banvænt,Bæði,Öll,7
2000,Banvænt,Bæði,Öll,4
2001,Banvænt,Bæði,Öll,3
2002,Banvænt,Bæði,Öll,0
2003,Banvænt,Bæði,Öll,4
2004,Banvænt,Bæði,Öll,2
2005,Banvænt,Bæði,Öll,3
2006,Banvænt,Bæði,Öll,6
2007,Banvænt,Bæði,Öll,4
2008,Banvænt,Bæði,Öll,5
2009,Banvænt,Bæði,Öll,3
2010,Banvænt,Bæði,Öll,3
2011,Banvænt,Bæði,Öll,3
2012,Banvænt,Bæði,Öll,0
2013,Banvænt,Bæði,Öll,1
2014,Banvænt,Bæði,Öll,2
2015,Banvænt,Bæði,Öll,2
2016,Banvænt,Bæði,Öll,4
2017,Banvænt,Bæði,Öll,2
2018,Banvænt,Bæði,Öll,3
2019,Banvænt,Bæði,Öll,2
2004,Banvænt,Karl,Öll,2
2005,Banvænt,Karl,Öll,3
2006,Banvænt,Karl,Öll,6
2007,Banvænt,Karl,Öll,4
2008,Banvænt,Karl,Öll,5
2009,Banvænt,Karl,Öll,3
2010,Banvænt,Karl,Öll,3
2011,Banvænt,Karl,Öll,3
2012,Banvænt,Karl,Öll,0
2013,Banvænt,Karl,Öll,0
2014,Banvænt,Karl,Öll,1
2015,Banvænt,Karl,Öll,2
2016,Banvænt,Karl,Öll,4
2017,Banvænt,Karl,Öll,2
2018,Banvænt,Karl,Öll,3
2019,Banvænt,Karl,Öll,2
2004,Banvænt,Kona,Öll,0
2005,Banvænt,Kona,Öll,0
2006,Banvænt,Kona,Öll,0
2007,Banvænt,Kona,Öll,0
2008,Banvænt,Kona,Öll,0
2009,Banvænt,Kona,Öll,0
2010,Banvænt,Kona,Öll,0
2011,Banvænt,Kona,Öll,0
2012,Banvænt,Kona,Öll,0
2013,Banvænt,Kona,Öll,1
2014,Banvænt,Kona,Öll,1
2015,Banvænt,Kona,Öll,0
2016,Banvænt,Kona,Öll,0
2017,Banvænt,Kona,Öll,0
2018,Banvænt,Kona,Öll,0
2019,Banvænt,Kona,Öll,0
2004,Óbanvænt,Karl,Öll,1425
2005,Óbanvænt,Karl,Öll,1219
2006,Óbanvænt,Karl,Öll,1327
2007,Óbanvænt,Karl,Öll,1450
2008,Óbanvænt,Karl,Öll,1367
2009,Óbanvænt,Karl,Öll,935
2010,Óbanvænt,Karl,Öll,857
2011,Óbanvænt,Karl,Öll,1018
2012,Óbanvænt,Karl,Öll,1053
2013,Óbanvænt,Karl,Öll,1191
2014,Óbanvænt,Karl,Öll,1251
2015,Óbanvænt,Karl,Öll,1303
2016,Óbanvænt,Karl,Öll,1359
2017,Óbanvænt,Karl,Öll,1382
2018,Óbanvænt,Karl,Öll,1418
2019,Óbanvænt,Karl,Öll,1068
2004,Óbanvænt,Kona,Öll,448
2005,Óbanvænt,Kona,Öll,411
2006,Óbanvænt,Kona,Öll,406
2007,Óbanvænt,Kona,Öll,471
2008,Óbanvænt,Kona,Öll,492
2009,Óbanvænt,Kona,Öll,429
2010,Óbanvænt,Kona,Öll,479
2011,Óbanvænt,Kona,Öll,536
2012,Óbanvænt,Kona,Öll,587
2013,Óbanvænt,Kona,Öll,610
2014,Óbanvænt,Kona,Öll,711
2015,Óbanvænt,Kona,Öll,759
2016,Óbanvænt,Kona,Öll,752
2017,Óbanvænt,Kona,Öll,738
2018,Óbanvænt,Kona,Öll,756
2019,Óbanvænt,Kona,Öll,629
1984,Óbanvænt,Bæði,Öll,339
1985,Óbanvænt,Bæði,Öll,352
1986,Óbanvænt,Bæði,Öll,376
1987,Óbanvænt,Bæði,Öll,401
1988,Óbanvænt,Bæði,Öll,420
1989,Óbanvænt,Bæði,Öll,437
1990,Óbanvænt,Bæði,Öll,758
1991,Óbanvænt,Bæði,Öll,659
1992,Óbanvænt,Bæði,Öll,669
1993,Óbanvænt,Bæði,Öll,666
1994,Óbanvænt,Bæði,Öll,665
1995,Óbanvænt,Bæði,Öll,881
1996,Óbanvænt,Bæði,Öll,1082
1997,Óbanvænt,Bæði,Öll,1233
1998,Óbanvænt,Bæði,Öll,1336
1999,Óbanvænt,Bæði,Öll,1354
2000,Óbanvænt,Bæði,Öll,1441
2001,Óbanvænt,Bæði,Öll,1416
2002,Óbanvænt,Bæði,Öll,1399
2003,Óbanvænt,Bæði,Öll,1478
2004,Óbanvænt,Bæði,Öll,1877
2005,Óbanvænt,Bæði,Öll,1633
2006,Óbanvænt,Bæði,Öll,1734
2007,Óbanvænt,Bæði,Öll,1922
2008,Óbanvænt,Bæði,Öll,1860
2009,Óbanvænt,Bæði,Öll,1364
2010,Óbanvænt,Bæði,Öll,1336
2011,Óbanvænt,Bæði,Öll,1554
2012,Óbanvænt,Bæði,Öll,1642
2013,Óbanvænt,Bæði,Öll,1801
2014,Óbanvænt,Bæði,Öll,1962
2015,Óbanvænt,Bæði,Öll,2062
2016,Óbanvænt,Bæði,Öll,2112
2017,Óbanvænt,Bæði,Öll,2120
2018,Óbanvænt,Bæði,Öll,2174
2019,Óbanvænt,Bæði,Öll,1697
1984,Alls,Bæði,Íslenskt,340
1985,Alls,Bæði,Íslenskt,350
1986,Alls,Bæði,Íslenskt,372
1987,Alls,Bæði,Íslenskt,394
1988,Alls,Bæði,Íslenskt,403
1989,Alls,Bæði,Íslenskt,432
1990,Alls,Bæði,Íslenskt,742
1991,Alls,Bæði,Íslenskt,651
1992,Alls,Bæði,Íslenskt,661
1993,Alls,Bæði,Íslenskt,664
1994,Alls,Bæði,Íslenskt,665
1995,Alls,Bæði,Íslenskt,873
1996,Alls,Bæði,Íslenskt,1066
1997,Alls,Bæði,Íslenskt,1216
1998,Alls,Bæði,Íslenskt,1316
1999,Alls,Bæði,Íslenskt,1321
2000,Alls,Bæði,Íslenskt,1393
2001,Alls,Bæði,Íslenskt,1370
2002,Alls,Bæði,Íslenskt,1353
2003,Alls,Bæði,Íslenskt,1375
2004,Alls,Bæði,Íslenskt,1373
2005,Alls,Bæði,Íslenskt,1221
2006,Alls,Bæði,Íslenskt,1231
2007,Alls,Bæði,Íslenskt,1293
2008,Alls,Bæði,Íslenskt,1451
2009,Alls,Bæði,Íslenskt,1188
2010,Alls,Bæði,Íslenskt,1185
2011,Alls,Bæði,Íslenskt,1386
2012,Alls,Bæði,Íslenskt,1456
2013,Alls,Bæði,Íslenskt,1552
2014,Alls,Bæði,Íslenskt,1686
2015,Alls,Bæði,Íslenskt,1776
2016,Alls,Bæði,Íslenskt,1748
2017,Alls,Bæði,Íslenskt,1688
2018,Alls,Bæði,Íslenskt,1633
2019,Alls,Bæði,Íslenskt,1265
1984,Banvænt,Bæði,Íslenskt,5
1985,Banvænt,Bæði,Íslenskt,6
1986,Banvænt,Bæði,Íslenskt,4
1987,Banvænt,Bæði,Íslenskt,4
1988,Banvænt,Bæði,Íslenskt,1
1989,Banvænt,Bæði,Íslenskt,7
1990,Banvænt,Bæði,Íslenskt,5
1991,Banvænt,Bæði,Íslenskt,9
1992,Banvænt,Bæði,Íslenskt,4
1993,Banvænt,Bæði,Íslenskt,4
1994,Banvænt,Bæði,Íslenskt,8
1995,Banvænt,Bæði,Íslenskt,3
1996,Banvænt,Bæði,Íslenskt,3
1997,Banvænt,Bæði,Íslenskt,4
1998,Banvænt,Bæði,Íslenskt,2
1999,Banvænt,Bæði,Íslenskt,7
2000,Banvænt,Bæði,Íslenskt,4
2001,Banvænt,Bæði,Íslenskt,3
2002,Banvænt,Bæði,Íslenskt,0
2003,Banvænt,Bæði,Íslenskt,4
2004,Banvænt,Bæði,Íslenskt,2
2005,Banvænt,Bæði,Íslenskt,3
2006,Banvænt,Bæði,Íslenskt,5
2007,Banvænt,Bæði,Íslenskt,2
2008,Banvænt,Bæði,Íslenskt,2
2009,Banvænt,Bæði,Íslenskt,3
2010,Banvænt,Bæði,Íslenskt,2
2011,Banvænt,Bæði,Íslenskt,3
2012,Banvænt,Bæði,Íslenskt,0
2013,Banvænt,Bæði,Íslenskt,1
2014,Banvænt,Bæði,Íslenskt,1
2015,Banvænt,Bæði,Íslenskt,2
2016,Banvænt,Bæði,Íslenskt,4
2017,Banvænt,Bæði,Íslenskt,1
2018,Banvænt,Bæði,Íslenskt,2
2019,Banvænt,Bæði,Íslenskt,1
2004,Banvænt,Karl,Íslenskt,2
2005,Banvænt,Karl,Íslenskt,3
2006,Banvænt,Karl,Íslenskt,5
2007,Banvænt,Karl,Íslenskt,2
2008,Banvænt,Karl,Íslenskt,2
2009,Banvænt,Karl,Íslenskt,3
2010,Banvænt,Karl,Íslenskt,2
2011,Banvænt,Karl,Íslenskt,3
2012,Banvænt,Karl,Íslenskt,0
2013,Banvænt,Karl,Íslenskt,0
2014,Banvænt,Karl,Íslenskt,1
2015,Banvænt,Karl,Íslenskt,2
2016,Banvænt,Karl,Íslenskt,4
2017,Banvænt,Karl,Íslenskt,1
2018,Banvænt,Karl,Íslenskt,2
2019,Banvænt,Karl,Íslenskt,1
2004,Banvænt,Kona,Íslenskt,0
2005,Banvænt,Kona,Íslenskt,0
2006,Banvænt,Kona,Íslenskt,0
2007,Banvænt,Kona,Íslenskt,0
2008,Banvænt,Kona,Íslenskt,0
2009,Banvænt,Kona,Íslenskt,0
2010,Banvænt,Kona,Íslenskt,0
2011,Banvænt,Kona,Íslenskt,0
2012,Banvænt,Kona,Íslenskt,0
2013,Banvænt,Kona,Íslenskt,1
2014,Banvænt,Kona,Íslenskt,0
2015,Banvænt,Kona,Íslenskt,0
2016,Banvænt,Kona,Íslenskt,0
2017,Banvænt,Kona,Íslenskt,0
2018,Banvænt,Kona,Íslenskt,0
2019,Banvænt,Kona,Íslenskt,0
2004,Óbanvænt,Karl,Íslenskt,949
2005,Óbanvænt,Karl,Íslenskt,841
2006,Óbanvænt,Karl,Íslenskt,862
2007,Óbanvænt,Karl,Íslenskt,891
2008,Óbanvænt,Karl,Íslenskt,1032
2009,Óbanvænt,Karl,Íslenskt,810
2010,Óbanvænt,Karl,Íslenskt,760
2011,Óbanvænt,Karl,Íslenskt,904
2012,Óbanvænt,Karl,Íslenskt,927
2013,Óbanvænt,Karl,Íslenskt,1008
2014,Óbanvænt,Karl,Íslenskt,1067
2015,Óbanvænt,Karl,Íslenskt,1124
2016,Óbanvænt,Karl,Íslenskt,1105
2017,Óbanvænt,Karl,Íslenskt,1065
2018,Óbanvænt,Karl,Íslenskt,1040
2019,Óbanvænt,Karl,Íslenskt,780
2004,Óbanvænt,Kona,Íslenskt,422
2005,Óbanvænt,Kona,Íslenskt,377
2006,Óbanvænt,Kona,Íslenskt,364
2007,Óbanvænt,Kona,Íslenskt,400
2008,Óbanvænt,Kona,Íslenskt,417
2009,Óbanvænt,Kona,Íslenskt,375
2010,Óbanvænt,Kona,Íslenskt,423
2011,Óbanvænt,Kona,Íslenskt,479
2012,Óbanvænt,Kona,Íslenskt,529
2013,Óbanvænt,Kona,Íslenskt,543
2014,Óbanvænt,Kona,Íslenskt,618
2015,Óbanvænt,Kona,Íslenskt,650
2016,Óbanvænt,Kona,Íslenskt,639
2017,Óbanvænt,Kona,Íslenskt,622
2018,Óbanvænt,Kona,Íslenskt,591
2019,Óbanvænt,Kona,Íslenskt,484
1984,Óbanvænt,Bæði,Íslenskt,335
1985,Óbanvænt,Bæði,Íslenskt,344
1986,Óbanvænt,Bæði,Íslenskt,368
1987,Óbanvænt,Bæði,Íslenskt,390
1988,Óbanvænt,Bæði,Íslenskt,402
1989,Óbanvænt,Bæði,Íslenskt,425
1990,Óbanvænt,Bæði,Íslenskt,737
1991,Óbanvænt,Bæði,Íslenskt,642
1992,Óbanvænt,Bæði,Íslenskt,657
1993,Óbanvænt,Bæði,Íslenskt,660
1994,Óbanvænt,Bæði,Íslenskt,657
1995,Óbanvænt,Bæði,Íslenskt,870
1996,Óbanvænt,Bæði,Íslenskt,1063
1997,Óbanvænt,Bæði,Íslenskt,1212
1998,Óbanvænt,Bæði,Íslenskt,1314
1999,Óbanvænt,Bæði,Íslenskt,1314
2000,Óbanvænt,Bæði,Íslenskt,1389
2001,Óbanvænt,Bæði,Íslenskt,1367
2002,Óbanvænt,Bæði,Íslenskt,1353
2003,Óbanvænt,Bæði,Íslenskt,1371
2004,Óbanvænt,Bæði,Íslenskt,1371
2005,Óbanvænt,Bæði,Íslenskt,1218
2006,Óbanvænt,Bæði,Íslenskt,1226
2007,Óbanvænt,Bæði,Íslenskt,1291
2008,Óbanvænt,Bæði,Íslenskt,1449
2009,Óbanvænt,Bæði,Íslenskt,1185
2010,Óbanvænt,Bæði,Íslenskt,1183
2011,Óbanvænt,Bæði,Íslenskt,1383
2012,Óbanvænt,Bæði,Íslenskt,1456
2013,Óbanvænt,Bæði,Íslenskt,1551
2014,Óbanvænt,Bæði,Íslenskt,1685
2015,Óbanvænt,Bæði,Íslenskt,1774
