Year,Units,Atvinnugrein,Value
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,14.12431
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,13.41481
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,11.81556
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,11.55023
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,13.28027
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,11.58698
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,10.91724
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,10.42618
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,8.66048
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,9.01475
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,7.85777
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,10.93357
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,10.96286
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,12.83403
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,13.10315
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,11.65924
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,11.5139
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,11.32834
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,10.58489
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,9.29845
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,8.87037
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,8.40113
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,8.6769
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,8.722
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C. Framleiðsla,9.0744
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,6.5543
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,6.12592
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,5.2253
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,4.56502
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,6.16798
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,4.87228
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,4.39611
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,3.82681
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,3.14039
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,2.93778
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,2.40012
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,3.91138
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,5.19478
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,4.82496
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,5.25145
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,5.16418
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,5.2442
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,4.66731
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,4.50837
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,3.96538
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,3.66183
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,3.80553
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,4.1868
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,4.16
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,4.2991
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,4.27041
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,3.89586
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,3.18918
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,2.54105
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,4.15403
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,2.9634
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,2.5708
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,2.24033
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,1.82918
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,1.83148
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,1.24917
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,2.31002
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,3.41925
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,3.03471
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,3.5339
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,3.49146
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,3.57135
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,2.92114
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,2.87269
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,2.26147
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,2.08732
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,2.16512
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,2.23122
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,2.416
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C: 10-12 Þaraf Fiskvinnsla,2.6829
1997,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.52414
1998,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.40937
1999,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.3788
2000,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.33675
2001,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.30894
2002,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.30532
2003,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.2757
2004,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.22688
2005,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.20076
