Year,Atvinnugrein,Value
1997,,0.414078362
1998,,0.394027708
1999,,0.405018556
2000,,0.435865179
2001,,0.511642878
2002,,0.467209132
2003,,0.387678626
2004,,0.329308438
2005,,0.300784685
2006,,0.305819215
2007,,0.2431074
2008,,0.306095378
2009,,0.454821752
2010,,0.477854844
2011,,0.418137457
2012,,0.447299476
2013,,0.397326422
2014,,0.372563342
2015,,0.401640803
2016,,0.351121205
2017,,0.345424968
1997,"A - Landbúnaður, skógrækt og fiskveiðar",1.675057035
1998,"A - Landbúnaður, skógrækt og fiskveiðar",1.587015316
1999,"A - Landbúnaður, skógrækt og fiskveiðar",1.60717891
2000,"A - Landbúnaður, skógrækt og fiskveiðar",1.77688124
2001,"A - Landbúnaður, skógrækt og fiskveiðar",1.862924172
2002,"A - Landbúnaður, skógrækt og fiskveiðar",1.581778549
2003,"A - Landbúnaður, skógrækt og fiskveiðar",1.438946492
2004,"A - Landbúnaður, skógrækt og fiskveiðar",1.552775611
2005,"A - Landbúnaður, skógrækt og fiskveiðar",1.421427255
2006,"A - Landbúnaður, skógrækt og fiskveiðar",1.356368818
2007,"A - Landbúnaður, skógrækt og fiskveiðar",1.266704811
2008,"A - Landbúnaður, skógrækt og fiskveiðar",1.281785593
2009,"A - Landbúnaður, skógrækt og fiskveiðar",1.545822887
2010,"A - Landbúnaður, skógrækt og fiskveiðar",1.308394652
2011,"A - Landbúnaður, skógrækt og fiskveiðar",1.229939678
2012,"A - Landbúnaður, skógrækt og fiskveiðar",1.221709246
2013,"A - Landbúnaður, skógrækt og fiskveiðar",1.240163161
2014,"A - Landbúnaður, skógrækt og fiskveiðar",1.244519399
2015,"A - Landbúnaður, skógrækt og fiskveiðar",1.250957578
2016,"A - Landbúnaður, skógrækt og fiskveiðar",1.235066923
2017,"A - Landbúnaður, skógrækt og fiskveiðar",1.396491238
1997,B - Námugröftur og vinnsla hráefna úr jörðu,0.018609168
1998,B - Námugröftur og vinnsla hráefna úr jörðu,0.017716162
1999,B - Námugröftur og vinnsla hráefna úr jörðu,0.019966142
2000,B - Námugröftur og vinnsla hráefna úr jörðu,0.023665276
2001,B - Námugröftur og vinnsla hráefna úr jörðu,0.025828257
2002,B - Námugröftur og vinnsla hráefna úr jörðu,0.024540968
2003,B - Námugröftur og vinnsla hráefna úr jörðu,0.058736265
2004,B - Námugröftur og vinnsla hráefna úr jörðu,0.043472504
2005,B - Námugröftur og vinnsla hráefna úr jörðu,0.265966689
2006,B - Námugröftur og vinnsla hráefna úr jörðu,0.050155432
2007,B - Námugröftur og vinnsla hráefna úr jörðu,0.037427036
2008,B - Námugröftur og vinnsla hráefna úr jörðu,0.060928388
2009,B - Námugröftur og vinnsla hráefna úr jörðu,0.160951421
2010,B - Námugröftur og vinnsla hráefna úr jörðu,0.139539924
2011,B - Námugröftur og vinnsla hráefna úr jörðu,0.137515611
2012,B - Námugröftur og vinnsla hráefna úr jörðu,0.152994215
2013,B - Námugröftur og vinnsla hráefna úr jörðu,0.110944083
2014,B - Námugröftur og vinnsla hráefna úr jörðu,0.109867911
2015,B - Námugröftur og vinnsla hráefna úr jörðu,0.09060897
2016,B - Námugröftur og vinnsla hráefna úr jörðu,0.08266612
2017,B - Námugröftur og vinnsla hráefna úr jörðu,0.048339075
1997,C - Framleiðsla,0.53164178
1998,C - Framleiðsla,0.51543923
1999,C - Framleiðsla,0.672230084
2000,C - Framleiðsla,0.783928786
2001,C - Framleiðsla,0.878018937
2002,C - Framleiðsla,0.888259291
2003,C - Framleiðsla,0.811140992
2004,C - Framleiðsla,0.721882976
2005,C - Framleiðsla,0.732124317
2006,C - Framleiðsla,0.696671429
2007,C - Framleiðsla,0.610714849
2008,C - Framleiðsla,0.767580146
2009,C - Framleiðsla,1.13866223
2010,C - Framleiðsla,1.235261288
2011,C - Framleiðsla,1.009851604
2012,C - Framleiðsla,1.19022126
2013,C - Framleiðsla,1.059734192
2014,C - Framleiðsla,1.027644448
2015,C - Framleiðsla,1.130317589
2016,C - Framleiðsla,1.068825995
2017,C - Framleiðsla,1.069212034
1997,"D - Rafmagns-, gas- og hitaveitur",0.268075432
1998,"D - Rafmagns-, gas- og hitaveitur",0.279730541
1999,"D - Rafmagns-, gas- og hitaveitur",0.207591334
2000,"D - Rafmagns-, gas- og hitaveitur",0.280731156
2001,"D - Rafmagns-, gas- og hitaveitur",0.379500038
2002,"D - Rafmagns-, gas- og hitaveitur",0.501267158
2003,"D - Rafmagns-, gas- og hitaveitur",0.421763456
2004,"D - Rafmagns-, gas- og hitaveitur",0.372418701
2005,"D - Rafmagns-, gas- og hitaveitur",0.295356406
2006,"D - Rafmagns-, gas- og hitaveitur",0.218500422
2007,"D - Rafmagns-, gas- og hitaveitur",0.198780196
2008,"D - Rafmagns-, gas- og hitaveitur",0.209030714
2009,"D - Rafmagns-, gas- og hitaveitur",0.351338786
2010,"D - Rafmagns-, gas- og hitaveitur",0.343595945
2011,"D - Rafmagns-, gas- og hitaveitur",0.273554876
2012,"D - Rafmagns-, gas- og hitaveitur",0.326287348
2013,"D - Rafmagns-, gas- og hitaveitur",0.300430864
2014,"D - Rafmagns-, gas- og hitaveitur",0.308980043
2015,"D - Rafmagns-, gas- og hitaveitur",0.304978136
2016,"D - Rafmagns-, gas- og hitaveitur",0.319056114
2017,"D - Rafmagns-, gas- og hitaveitur",0.26267869
1997,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",4.462954632
1998,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",4.083691716
1999,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",4.253216588
2000,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",4.660470855
2001,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",4.597119027
2002,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",4.151866351
2003,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",3.91096198
2004,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",3.315431187
2005,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",2.776155978
2006,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",2.921890834
2007,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",1.850959913
2008,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",2.357495373
2009,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",3.115431479
2010,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",2.718150253
2011,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",2.401448127
2012,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",2.340811029
2013,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",1.938884142
2014,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",1.784137486
2015,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",1.930373807
2016,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",1.604468457
2017,"E - Vatnsveita, fráveita, meðhöndlun úrgangs og afmengun",1.414721739
1997,F - Byggingastarfsemi og mannvirkjagerð,0.195534069
1998,F - Byggingastarfsemi og mannvirkjagerð,0.170207111
1999,F - Byggingastarfsemi og mannvirkjagerð,0.212714668
2000,F - Byggingastarfsemi og mannvirkjagerð,0.209572518
2001,F - Byggingastarfsemi og mannvirkjagerð,0.288295297
2002,F - Byggingastarfsemi og mannvirkjagerð,0.282487723
2003,F - Byggingastarfsemi og mannvirkjagerð,0.237939962
2004,F - Byggingastarfsemi og mannvirkjagerð,0.172267198
2005,F - Byggingastarfsemi og mannvirkjagerð,0.118624787
2006,F - Byggingastarfsemi og mannvirkjagerð,0.137584274
2007,F - Byggingastarfsemi og mannvirkjagerð,0.132897839
2008,F - Byggingastarfsemi og mannvirkjagerð,0.18431981
2009,F - Byggingastarfsemi og mannvirkjagerð,0.498791826
2010,F - Byggingastarfsemi og mannvirkjagerð,0.49023493
2011,F - Byggingastarfsemi og mannvirkjagerð,0.362696551
2012,F - Byggingastarfsemi og mannvirkjagerð,0.288955938
2013,F - Byggingastarfsemi og mannvirkjagerð,0.217377287
2014,F - Byggingastarfsemi og mannvirkjagerð,0.183692689
2015,F - Byggingastarfsemi og mannvirkjagerð,0.179960231
2016,F - Byggingastarfsemi og mannvirkjagerð,0.158534108
2017,F - Byggingastarfsemi og mannvirkjagerð,0.11604735
1997,"G - Heild og smásöluverslun, viðgerðir á vélknúnum ökutækjum",0.025159005
1998,"G - Heild og smásöluverslun, viðgerðir á vélknúnum ökutækjum",0.0252732
1999,"G - Heild og smásöluverslun, viðgerðir á vélknúnum ökutækjum",0.028809723
2000,"G - Heild og smásöluverslun, viðgerðir á vélknúnum ökutækjum",0.035889778
2001,"G - Heild og smásöluverslun, viðgerðir á vélknúnum ökutækjum",0.053373496
2002,"G - Heild og smásöluverslun, viðgerðir á vélknúnum ökutækjum",0.048068052
