Year,Hópur,Value
2013,,1.69
2013,Fyrirtæki,0.95
2013,Háskólastofnanir,0.63
2013,Rannsóknarstofnanir (að undanskildum háskólum),0.12
2014,,1.94
2014,Fyrirtæki,1.18
2014,Háskólastofnanir,0.64
2014,Rannsóknarstofnanir (að undanskildum háskólum),0.12
2015,,2.18
2015,Fyrirtæki,1.44
2015,Háskólastofnanir,0.64
2015,Rannsóknarstofnanir (að undanskildum háskólum),0.1
2016,,2.11
2016,Fyrirtæki,1.36
2016,Háskólastofnanir,0.65
2016,Rannsóknarstofnanir (að undanskildum háskólum),0.1
2017,,2.08
2017,Fyrirtæki,1.34
2017,Háskólastofnanir,0.66
2017,Rannsóknarstofnanir (að undanskildum háskólum),0.09
2018,,2.01
2018,Fyrirtæki,1.29
2018,Háskólastofnanir,0.63
2018,Rannsóknarstofnanir (að undanskildum háskólum),0.08
2019,,2.35
2019,Fyrirtæki,1.61
2019,Háskólastofnanir,0.66
2019,Rannsóknarstofnanir (að undanskildum háskólum),0.07
