Year,Kyn,Aldur,Value
2004,,,10.0
2005,,,9.7
2006,,,9.6
2007,,,10.1
2008,,,10.0
2009,,,10.2
2010,,,9.8
2011,,,9.2
2012,,,7.9
2013,,,9.3
2014,,,7.9
2015,,,9.2
2016,,,8.8
2017,,,10.3
2018,,,9.0
2004,Karl,,9.6
2005,Karl,,9.8
2006,Karl,,9.1
2007,Karl,,9.1
2008,Karl,,9.3
2009,Karl,,9.3
2010,Karl,,9.8
2011,Karl,,9.0
2012,Karl,,8.4
2013,Karl,,9.6
2014,Karl,,8.1
2015,Karl,,9.3
2016,Karl,,8.5
2017,Karl,,10.0
2018,Karl,,9.1
2004,Kona,,10.5
2005,Kona,,9.6
2006,Kona,,10.2
2007,Kona,,11.0
2008,Kona,,10.6
2009,Kona,,11.1
2010,Kona,,9.8
2011,Kona,,9.5
2012,Kona,,7.5
2013,Kona,,8.9
2014,Kona,,7.7
2015,Kona,,9.1
2016,Kona,,9.1
2017,Kona,,10.7
2018,Kona,,8.9
2004,,0-15,11.8
2005,,0-15,10.3
2006,,0-15,12.1
2007,,0-15,12.5
2008,,0-15,11.8
2009,,0-15,10.1
2010,,0-15,12.9
2011,,0-15,11.6
2012,,0-15,10.6
2013,,0-15,12.6
2014,,0-15,10.2
2015,,0-15,11.7
2016,,0-15,11.0
2017,,0-15,12.1
2018,,0-15,11.1
2004,Karl,0-15,11.9
2005,Karl,0-15,10.9
2006,Karl,0-15,12.2
2007,Karl,0-15,11.7
2008,Karl,0-15,11.1
2009,Karl,0-15,9.6
2010,Karl,0-15,12.7
2011,Karl,0-15,10.7
2012,Karl,0-15,10.1
2013,Karl,0-15,13.2
2014,Karl,0-15,10.2
2015,Karl,0-15,11.7
2016,Karl,0-15,11.1
2017,Karl,0-15,11.0
2018,Karl,0-15,11.0
2004,Kona,0-15,11.6
2005,Kona,0-15,9.6
2006,Kona,0-15,12.1
2007,Kona,0-15,13.4
2008,Kona,0-15,12.5
2009,Kona,0-15,10.6
2010,Kona,0-15,13.2
2011,Kona,0-15,12.6
2012,Kona,0-15,11.2
2013,Kona,0-15,12.1
2014,Kona,0-15,10.2
2015,Kona,0-15,11.6
2016,Kona,0-15,10.9
2017,Kona,0-15,13.4
2018,Kona,0-15,11.4
2004,,16-24,14.7
2005,,16-24,14.9
2006,,16-24,11.4
2007,,16-24,10.6
2008,,16-24,11.1
2009,,16-24,14.2
2010,,16-24,14.8
2011,,16-24,12.8
2012,,16-24,9.6
2013,,16-24,13.7
2014,,16-24,9.0
2015,,16-24,12.2
2016,,16-24,11.1
2017,,16-24,13.1
2018,,16-24,10.1
2004,Karl,16-24,17.1
2005,Karl,16-24,15.7
2006,Karl,16-24,14.5
2007,Karl,16-24,13.6
2008,Karl,16-24,11.5
2009,Karl,16-24,18.3
2010,Karl,16-24,17.3
2011,Karl,16-24,13.6
2012,Karl,16-24,10.5
2013,Karl,16-24,15.8
2014,Karl,16-24,9.6
2015,Karl,16-24,12.3
2016,Karl,16-24,11.5
2017,Karl,16-24,13.7
2018,Karl,16-24,12.5
2004,Kona,16-24,17.1
2005,Kona,16-24,15.7
2006,Kona,16-24,14.5
2007,Kona,16-24,13.6
2008,Kona,16-24,11.5
2009,Kona,16-24,18.3
2010,Kona,16-24,17.3
2011,Kona,16-24,13.6
2012,Kona,16-24,10.5
2013,Kona,16-24,15.8
2014,Kona,16-24,9.6
2015,Kona,16-24,12.3
2016,Kona,16-24,11.5
2017,Kona,16-24,13.7
2018,Kona,16-24,12.5
2004,,25-34,10.8
2005,,25-34,11.5
2006,,25-34,10.5
2007,,25-34,11.4
2008,,25-34,11.2
2009,,25-34,12.4
2010,,25-34,13.3
2011,,25-34,14.6
2012,,25-34,11.8
2013,,25-34,13.5
2014,,25-34,9.2
2015,,25-34,14.9
2016,,25-34,13.6
2017,,25-34,16.5
2018,,25-34,12.5
2004,Karl,25-34,10.1
2005,Karl,25-34,10.8
2006,Karl,25-34,8.7
2007,Karl,25-34,10.9
2008,Karl,25-34,11.3
2009,Karl,25-34,12.5
2010,Karl,25-34,13.3
2011,Karl,25-34,12.7
2012,Karl,25-34,13.2
2013,Karl,25-34,12.7
2014,Karl,25-34,7.8
2015,Karl,25-34,12.8
2016,Karl,25-34,11.7
2017,Karl,25-34,16.9
2018,Karl,25-34,12.3
2004,Kona,25-34,11.5
2005,Kona,25-34,12.2
2006,Kona,25-34,12.4
2007,Kona,25-34,11.9
2008,Kona,25-34,11.1
2009,Kona,25-34,12.3
2010,Kona,25-34,13.3
2011,Kona,25-34,16.5
2012,Kona,25-34,10.3
2013,Kona,25-34,14.3
2014,Kona,25-34,10.6
2015,Kona,25-34,17.1
2016,Kona,25-34,15.5
2017,Kona,25-34,16.1
2018,Kona,25-34,12.7
2004,,35-44,9.1
2005,,35-44,8.4
2006,,35-44,9.5
2007,,35-44,7.8
2008,,35-44,7.5
2009,,35-44,8.6
2010,,35-44,7.8
2011,,35-44,6.9
2012,,35-44,7.8
2013,,35-44,9.0
2014,,35-44,7.9
2015,,35-44,7.4
2016,,35-44,7.6
2017,,35-44,9.2
2018,,35-44,9.8
2004,Karl,35-44,9.2
2005,Karl,35-44,7.8
2006,Karl,35-44,10.4
2007,Karl,35-44,8.2
2008,Karl,35-44,7.9
2009,Karl,35-44,8.5
2010,Karl,35-44,9.0
2011,Karl,35-44,6.6
2012,Karl,35-44,8.1
2013,Karl,35-44,9.5
2014,Karl,35-44,9.0
2015,Karl,35-44,8.3
2016,Karl,35-44,9.2
2017,Karl,35-44,10.4
2018,Karl,35-44,9.5
2004,Kona,35-44,9.0
2005,Kona,35-44,9.0
2006,Kona,35-44,8.5
2007,Kona,35-44,7.3
2008,Kona,35-44,7.0
2009,Kona,35-44,8.7
2010,Kona,35-44,6.6
2011,Kona,35-44,7.3
2012,Kona,35-44,7.4
2013,Kona,35-44,8.5
2014,Kona,35-44,6.7
2015,Kona,35-44,6.5
2016,Kona,35-44,6.1
2017,Kona,35-44,8.0
2018,Kona,35-44,10.0
2004,,45-54,5.8
2005,,45-54,6.6
2006,,45-54,5.3
2007,,45-54,6.0
2008,,45-54,6.1
2009,,45-54,6.5
2010,,45-54,7.8
2011,,45-54,6.7
2012,,45-54,5.1
2013,,45-54,5.0
2014,,45-54,6.3
2015,,45-54,5.0
2016,,45-54,5.5
2017,,45-54,6.1
2018,,45-54,6.3
2004,Karl,45-54,6.4
2005,Karl,45-54,8.3
2006,Karl,45-54,6.6
2007,Karl,45-54,6.4
2008,Karl,45-54,6.3
2009,Karl,45-54,8.6
2010,Karl,45-54,10.2
2011,Karl,45-54,8.6
2012,Karl,45-54,6.9
2013,Karl,45-54,7.1
2014,Karl,45-54,8.3
2015,Karl,45-54,6.7
2016,Karl,45-54,5.8
2017,Karl,45-54,4.9
2018,Karl,45-54,6.0
2004,Kona,45-54,5.3
2005,Kona,45-54,4.9
2006,Kona,45-54,4.0
2007,Kona,45-54,5.6
2008,Kona,45-54,6.0
2009,Kona,45-54,4.4
2010,Kona,45-54,5.4
2011,Kona,45-54,4.8
2012,Kona,45-54,3.2
2013,Kona,45-54,2.9
2014,Kona,45-54,4.4
2015,Kona,45-54,3.4
2016,Kona,45-54,5.1
2017,Kona,45-54,7.2
2018,Kona,45-54,6.6
2004,,55-64,5.0
2005,,55-64,5.4
2006,,55-64,3.7
2007,,55-64,4.8
2008,,55-64,5.8
2009,,55-64,6.3
2010,,55-64,3.3
2011,,55-64,4.9
2012,,55-64,3.6
2013,,55-64,4.1
2014,,55-64,3.5
2015,,55-64,5.3
2016,,55-64,4.6
2017,,55-64,5.3
2018,,55-64,7.3
2004,Karl,55-64,4.7
2005,Karl,55-64,6.1
2006,Karl,55-64,3.2
2007,Karl,55-64,5.4
2008,Karl,55-64,6.7
2009,Karl,55-64,7.7
2010,Karl,55-64,3.9
2011,Karl,55-64,6.8
2012,Karl,55-64,5.0
2013,Karl,55-64,5.5
2014,Karl,55-64,4.2
2015,Karl,55-64,6.6
2016,Karl,55-64,4.7
2017,Karl,55-64,5.2
2018,Karl,55-64,9.4
2004,Kona,55-64,5.3
2005,Kona,55-64,4.7
2006,Kona,55-64,4.2
2007,Kona,55-64,4.3
2008,Kona,55-64,5.0
2009,Kona,55-64,4.9
2010,Kona,55-64,2.6
2011,Kona,55-64,3.0
2012,Kona,55-64,2.2
2013,Kona,55-64,2.7
2014,Kona,55-64,2.7
2015,Kona,55-64,4.0
2016,Kona,55-64,4.5
2017,Kona,55-64,5.4
2018,Kona,55-64,5.1
2004,,64+,10.3
2005,,64+,9.2
2006,,64+,11.8
2007,,64+,15.1
2008,,64+,15.0
2009,,64+,12.4
2010,,64+,4.9
2011,,64+,4.3
2012,,64+,4.5
2013,,64+,4.0
2014,,64+,6.9
2015,,64+,5.8
2016,,64+,6.1
2017,,64+,8.1
2018,,64+,4.8
2004,Karl,64+,8.8
2005,Karl,64+,8.6
2006,Karl,64+,10.0
2007,Karl,64+,11.0
2008,Karl,64+,9.5
2009,Karl,64+,6.1
2010,Karl,64+,3.0
2011,Karl,64+,3.0
2012,Karl,64+,4.6
2013,Karl,64+,3.9
2014,Karl,64+,6.3
2015,Karl,64+,4.5
2016,Karl,64+,3.7
2017,Karl,64+,6.6
2018,Karl,64+,5.8
2004,Kona,64+,11.7
2005,Kona,64+,9.8
2006,Kona,64+,13.5
2007,Kona,64+,18.8
2008,Kona,64+,19.7
2009,Kona,64+,17.9
2010,Kona,64+,6.6
2011,Kona,64+,5.5
2012,Kona,64+,4.5
2013,Kona,64+,4.0
2014,Kona,64+,7.4
2015,Kona,64+,7.1
2016,Kona,64+,8.3
2017,Kona,64+,9.6
2018,Kona,64+,3.9
