Year,Mælikvarði,Value
2015,Hlutfall lausaeigna við skammtímaskuldbindingar.,37.617
2016,Hlutfall lausaeigna við skammtímaskuldbindingar.,37.187
2017,Hlutfall lausaeigna við skammtímaskuldbindingar.,30.109
2018,Hlutfall lausaeigna við skammtímaskuldbindingar.,23.324
2019,Hlutfall lausaeigna við skammtímaskuldbindingar.,22.833
2020,Hlutfall lausaeigna við skammtímaskuldbindingar.,23.647
2018,Eigið fé sem hlutfall af eignum samkvæmt reglugerðarflokki 1.,17.035
2015,Eigið fé sem hlutfall af áhættuvegnum eignum samkvæmt reglugerðarflokki 1.,27.386
2016,Eigið fé sem hlutfall af áhættuvegnum eignum samkvæmt reglugerðarflokki 1.,27.19
2017,Eigið fé sem hlutfall af áhættuvegnum eignum samkvæmt reglugerðarflokki 1.,24.299
2018,Eigið fé sem hlutfall af áhættuvegnum eignum samkvæmt reglugerðarflokki 1.,21.815
2019,Eigið fé sem hlutfall af áhættuvegnum eignum samkvæmt reglugerðarflokki 1.,21.816
2020,Eigið fé sem hlutfall af áhættuvegnum eignum samkvæmt reglugerðarflokki 1.,22.412
2015,Hlutfall útlána í vanskilum af niðurfellingum lána.,8.889
2016,Hlutfall útlána í vanskilum af niðurfellingum lána.,6.678
2017,Hlutfall útlána í vanskilum af niðurfellingum lána.,5.463
2018,Hlutfall útlána í vanskilum af niðurfellingum lána.,6.568
2019,Hlutfall útlána í vanskilum af niðurfellingum lána.,8.197
2020,Hlutfall útlána í vanskilum af niðurfellingum lána.,6.045
2015,Útlán í vanskilum sem hlutfall af heildar lánveitingum.,5.852
2016,Útlán í vanskilum sem hlutfall af heildar lánveitingum.,4.123
2017,Útlán í vanskilum sem hlutfall af heildar lánveitingum.,2.864
2018,Útlán í vanskilum sem hlutfall af heildar lánveitingum.,2.513
2019,Útlán í vanskilum sem hlutfall af heildar lánveitingum.,2.928
2020,Útlán í vanskilum sem hlutfall af heildar lánveitingum.,2.902
2015,Arðsemi eigna.,4.195
2016,Arðsemi eigna.,2.375
2017,Arðsemi eigna.,1.9
2018,Arðsemi eigna.,1.619
2019,Arðsemi eigna.,1.179
2020,Arðsemi eigna.,0.909
2015,Munur á erlendum eignum og skuldbindingum.,2.08829
2016,Munur á erlendum eignum og skuldbindingum.,-0.484
2017,Munur á erlendum eignum og skuldbindingum.,0.538
2018,Munur á erlendum eignum og skuldbindingum.,-0.244
2019,Munur á erlendum eignum og skuldbindingum.,-1.079
2020,Munur á erlendum eignum og skuldbindingum.,2.451
