Year,Kyn,Húsnæðisaðstæður,Value
2011,,Útigangsfólk,0.03
2011,,Fólk í húsnæðishraki,0.2
2011,Kona,Útigangsfólk,0.02
2011,Kona,Fólk í húsnæðishraki,0.18
2011,Karl,Útigangsfólk,0.05
2011,Karl,Fólk í húsnæðishraki,0.23
2004,,Lélegt ástand húsnæðis,20.3
2005,,Lélegt ástand húsnæðis,19.1
2006,,Lélegt ástand húsnæðis,12.9
2007,,Lélegt ástand húsnæðis,11.1
2008,,Lélegt ástand húsnæðis,19.9
2009,,Lélegt ástand húsnæðis,17.4
2010,,Lélegt ástand húsnæðis,16.0
2011,,Lélegt ástand húsnæðis,16.0
2012,,Lélegt ástand húsnæðis,18.6
2013,,Lélegt ástand húsnæðis,18.0
2014,,Lélegt ástand húsnæðis,15.8
2015,,Lélegt ástand húsnæðis,19.3
2016,,Lélegt ástand húsnæðis,18.6
2017,,Lélegt ástand húsnæðis,19.8
2018,,Lélegt ástand húsnæðis,19.2
2004,,Þéttbýli,9.0
2005,,Þéttbýli,9.0
2006,,Þéttbýli,9.4
2007,,Þéttbýli,11.3
2008,,Þéttbýli,6.9
2009,,Þéttbýli,8.0
2010,,Þéttbýli,8.0
2011,,Þéttbýli,8.2
2012,,Þéttbýli,8.7
2013,,Þéttbýli,9.8
2014,,Þéttbýli,8.3
2015,,Þéttbýli,8.8
2016,,Þéttbýli,7.8
2017,,Þéttbýli,10.9
2018,,Þéttbýli,14.1
2004,Kona,Lélegt ástand húsnæðis,20.9
2005,Kona,Lélegt ástand húsnæðis,19.6
2006,Kona,Lélegt ástand húsnæðis,13.9
2007,Kona,Lélegt ástand húsnæðis,11.6
2008,Kona,Lélegt ástand húsnæðis,20.0
2009,Kona,Lélegt ástand húsnæðis,18.1
2010,Kona,Lélegt ástand húsnæðis,16.3
2011,Kona,Lélegt ástand húsnæðis,16.9
2012,Kona,Lélegt ástand húsnæðis,19.7
2013,Kona,Lélegt ástand húsnæðis,18.7
2014,Kona,Lélegt ástand húsnæðis,16.3
2015,Kona,Lélegt ástand húsnæðis,19.8
2016,Kona,Lélegt ástand húsnæðis,19.3
2017,Kona,Lélegt ástand húsnæðis,20.6
2018,Kona,Lélegt ástand húsnæðis,20.1
2004,Kona,Þéttbýli,9.4
2005,Kona,Þéttbýli,9.4
2006,Kona,Þéttbýli,9.8
2007,Kona,Þéttbýli,11.6
2008,Kona,Þéttbýli,7.0
2009,Kona,Þéttbýli,7.9
2010,Kona,Þéttbýli,8.2
2011,Kona,Þéttbýli,8.5
2012,Kona,Þéttbýli,8.6
2013,Kona,Þéttbýli,9.7
2014,Kona,Þéttbýli,8.0
2015,Kona,Þéttbýli,9.0
2016,Kona,Þéttbýli,7.7
2017,Kona,Þéttbýli,10.7
2018,Kona,Þéttbýli,13.1
2004,Karl,Lélegt ástand húsnæðis,19.8
2005,Karl,Lélegt ástand húsnæðis,18.6
2006,Karl,Lélegt ástand húsnæðis,11.9
2007,Karl,Lélegt ástand húsnæðis,10.5
2008,Karl,Lélegt ástand húsnæðis,19.8
2009,Karl,Lélegt ástand húsnæðis,16.7
2010,Karl,Lélegt ástand húsnæðis,15.6
2011,Karl,Lélegt ástand húsnæðis,15.0
2012,Karl,Lélegt ástand húsnæðis,17.5
2013,Karl,Lélegt ástand húsnæðis,17.3
2014,Karl,Lélegt ástand húsnæðis,15.4
2015,Karl,Lélegt ástand húsnæðis,18.7
2016,Karl,Lélegt ástand húsnæðis,18.0
2017,Karl,Lélegt ástand húsnæðis,19.1
2018,Karl,Lélegt ástand húsnæðis,18.3
2004,Karl,Þéttbýli,8.5
2005,Karl,Þéttbýli,8.6
2006,Karl,Þéttbýli,9.0
2007,Karl,Þéttbýli,11.1
2008,Karl,Þéttbýli,6.8
2009,Karl,Þéttbýli,8.1
2010,Karl,Þéttbýli,7.8
2011,Karl,Þéttbýli,8.0
2012,Karl,Þéttbýli,8.8
2013,Karl,Þéttbýli,9.8
2014,Karl,Þéttbýli,8.6
2015,Karl,Þéttbýli,8.6
2016,Karl,Þéttbýli,8.0
2017,Karl,Þéttbýli,11.2
2018,Karl,Þéttbýli,15.2
