Year,Flokkur,Value
1990,Innlend efnisnotkun (DMC) [Kílótonn],3501.31
1991,Innlend efnisnotkun (DMC) [Kílótonn],3330.93
1992,Innlend efnisnotkun (DMC) [Kílótonn],3670.92
1993,Innlend efnisnotkun (DMC) [Kílótonn],3617.59
1994,Innlend efnisnotkun (DMC) [Kílótonn],3329.49
1995,Innlend efnisnotkun (DMC) [Kílótonn],3345.83
1996,Innlend efnisnotkun (DMC) [Kílótonn],4053.45
1997,Innlend efnisnotkun (DMC) [Kílótonn],4268.7
1998,Innlend efnisnotkun (DMC) [Kílótonn],4414.36
1999,Innlend efnisnotkun (DMC) [Kílótonn],4618.84
2000,Innlend efnisnotkun (DMC) [Kílótonn],7751.29
2001,Innlend efnisnotkun (DMC) [Kílótonn],7241.14
2002,Innlend efnisnotkun (DMC) [Kílótonn],6557.88
2003,Innlend efnisnotkun (DMC) [Kílótonn],7268.02
2004,Innlend efnisnotkun (DMC) [Kílótonn],17408.68
2005,Innlend efnisnotkun (DMC) [Kílótonn],13140.83
2006,Innlend efnisnotkun (DMC) [Kílótonn],15919.94
2007,Innlend efnisnotkun (DMC) [Kílótonn],16102.72
2008,Innlend efnisnotkun (DMC) [Kílótonn],18082.18
2009,Innlend efnisnotkun (DMC) [Kílótonn],16814.25
2010,Innlend efnisnotkun (DMC) [Kílótonn],10562.07
2011,Innlend efnisnotkun (DMC) [Kílótonn],6843.3
2012,Innlend efnisnotkun (DMC) [Kílótonn],7968.57
2013,Innlend efnisnotkun (DMC) [Kílótonn],9824.78
2014,Innlend efnisnotkun (DMC) [Kílótonn],7510.32
2015,Innlend efnisnotkun (DMC) [Kílótonn],7704.51
2016,Innlend efnisnotkun (DMC) [Kílótonn],10254.0
2017,Innlend efnisnotkun (DMC) [Kílótonn],11168.56
2018,Innlend efnisnotkun (DMC) [Kílótonn],11322.15
2019,Innlend efnisnotkun (DMC) [Kílótonn],10900.18
1990,DMC á íbúa [Kílótonn á íbúa],0.01374
1991,DMC á íbúa [Kílótonn á íbúa],0.01291
1992,DMC á íbúa [Kílótonn á íbúa],0.01406
1993,DMC á íbúa [Kílótonn á íbúa],0.01371
