Year,Tegund,Value
1990,Skógur > 5m,0.1703
1990,Skógur < 5m,1.2767
1990,Heildar skógþekja,1.447
2000,Skógur > 5m,0.2975
2000,Skógur < 5m,1.341
2000,Heildar skógþekja,1.6385
2005,Skógur > 5m,0.3816
2005,Skógur < 5m,1.3809
2005,Heildar skógþekja,1.7625
2010,Skógur > 5m,0.4455
2010,Skógur < 5m,1.4187
2010,Heildar skógþekja,1.8642
2015,Skógur > 5m,0.4804
2015,Skógur < 5m,1.4558
2015,Heildar skógþekja,1.9362
2016,Skógur > 5m,0.4854
2016,Skógur < 5m,1.461
2016,Heildar skógþekja,1.9464
2017,Skógur > 5m,0.4925
2017,Skógur < 5m,1.4699
2017,Heildar skógþekja,1.9624
2018,Skógur > 5m,0.4962
2018,Skógur < 5m,1.4684
2018,Heildar skógþekja,1.9646
2019,Skógur > 5m,0.5028
2019,Skógur < 5m,1.4759
2019,Heildar skógþekja,1.9786
2020,Skógur > 5m,0.5093
2020,Skógur < 5m,1.4831
2020,Heildar skógþekja,1.9923
