Year,Stofnun,Value
2000,Alþjóðaviðskiptastofnunin (WTO),0.71429
2000,Alþjóðabankinn (IBRD),0.54945
2000,Alsherjaþing Sameinuðu Þjóðanna (UNGA),0.5291
2000,Alþjóðagjaldeyrissjóðurinn (IMF),0.5618
2000,Alþjóða lánastofnunin (IFC),0.57471
2005,Alþjóða lánastofnunin (IFC),0.5618
2005,Alþjóðagjaldeyrissjóðurinn (IMF),0.55249
2005,Alþjóðabankinn (IBRD),0.54348
2005,Efnahags- og félagsmálaráð Sameinuðu Þjóðanna (UN ECOSOC),1.85
2005,Alsherjaþing Sameinuðu Þjóðanna (UNGA),0.52356
2005,Alþjóðaviðskiptastofnunin (WTO),0.67114
2010,Alþjóðagjaldeyrissjóðurinn (IMF),0.54945
2010,Alþjóða lánastofnunin (IFC),0.54945
2010,Alsherjaþing Sameinuðu Þjóðanna (UNGA),0.52083
2010,Alþjóðaviðskiptastofnunin (WTO),0.65359
2010,Alþjóðabankinn (IBRD),0.53476
2015,Alþjóðabankinn (IBRD),0.53191
2015,Alþjóða lánastofnunin (IFC),0.54348
2015,Alþjóðagjaldeyrissjóðurinn (IMF),0.53191
2015,Alsherjaþing Sameinuðu Þjóðanna (UNGA),0.51813
2015,Alþjóðaviðskiptastofnunin (WTO),0.625
2016,Alsherjaþing Sameinuðu Þjóðanna (UNGA),0.51813
2016,Alþjóðabankinn (IBRD),0.53191
2016,Alþjóða lánastofnunin (IFC),0.54348
2016,Alþjóðaviðskiptastofnunin (WTO),0.61728
2016,Alþjóðagjaldeyrissjóðurinn (IMF),0.53191
2017,Alþjóðabankinn (IBRD),0.5291
2017,Alþjóðaviðskiptastofnunin (WTO),0.60976
2017,Alsherjaþing Sameinuðu Þjóðanna (UNGA),0.51813
2017,Alþjóða lánastofnunin (IFC),0.54348
2017,Alþjóðagjaldeyrissjóðurinn (IMF),0.5291
2018,Alþjóðaviðskiptastofnunin (WTO),0.60976
2018,Alþjóða lánastofnunin (IFC),0.54348
