Year,Vörutegund,Staða,Value
2005,Vopn,Bestukjaraákvæði,8.12067
2005,Föt,Bestukjaraákvæði,14.87714
2005,Iðnaðarvörur,Bestukjaraákvæði,1.62617
2005,Vefnaðarvara,Bestukjaraákvæði,4.84124
2005,Allar vörutegundir,Bestukjaraákvæði,2.68193
2005,Landbúnaðarvörur,Bestukjaraákvæði,11.51347
2010,Olía,Bestukjaraákvæði,0.0
2010,Iðnaðarvörur,Bestukjaraákvæði,1.25309
2010,Föt,Bestukjaraákvæði,14.91721
2010,Landbúnaðarvörur,Bestukjaraákvæði,11.63038
2010,Allar vörutegundir,Bestukjaraákvæði,2.61493
2010,Vopn,Bestukjaraákvæði,7.69405
2010,Vefnaðarvara,Bestukjaraákvæði,4.45305
2015,Vopn,Bestukjaraákvæði,8.57709
2015,Föt,Bestukjaraákvæði,14.89692
2015,Iðnaðarvörur,Bestukjaraákvæði,1.22998
2015,Vefnaðarvara,Bestukjaraákvæði,5.27239
2015,Landbúnaðarvörur,Bestukjaraákvæði,15.44017
2015,Allar vörutegundir,Bestukjaraákvæði,2.85161
2016,Föt,Bestukjaraákvæði,0.0
2016,Iðnaðarvörur,Bestukjaraákvæði,0.72747
2016,Vefnaðarvara,Bestukjaraákvæði,5.27391
2016,Landbúnaðarvörur,Bestukjaraákvæði,8.32874
2016,Vopn,Bestukjaraákvæði,7.86374
2016,Allar vörutegundir,Bestukjaraákvæði,1.2118
2017,Föt,Bestukjaraákvæði,0.0
2017,Landbúnaðarvörur,Bestukjaraákvæði,19.24411
2017,Allar vörutegundir,Bestukjaraákvæði,1.66244
2017,Vopn,Bestukjaraákvæði,0.0
2017,Iðnaðarvörur,Bestukjaraákvæði,0.00756
2017,Vefnaðarvara,Bestukjaraákvæði,0.0
2005,Vopn,Ívílnunarkjör,2.3405
2005,Landbúnaðarvörur,Ívílnunarkjör,8.70884
2005,Vefnaðarvara,Ívílnunarkjör,2.12379
2005,Allar vörutegundir,Ívílnunarkjör,1.18042
2005,Iðnaðarvörur,Ívílnunarkjör,0.45735
2005,Föt,Ívílnunarkjör,6.26899
2010,Föt,Ívílnunarkjör,8.05477
2010,Landbúnaðarvörur,Ívílnunarkjör,7.17875
2010,Allar vörutegundir,Ívílnunarkjör,1.27167
2010,Olía,Ívílnunarkjör,0.0
2010,Iðnaðarvörur,Ívílnunarkjör,0.42578
2010,Vefnaðarvara,Ívílnunarkjör,2.13606
2010,Vopn,Ívílnunarkjör,1.84994
2015,Vopn,Ívílnunarkjör,1.54039
2015,Allar vörutegundir,Ívílnunarkjör,1.1336
2015,Landbúnaðarvörur,Ívílnunarkjör,10.56332
2015,Vefnaðarvara,Ívílnunarkjör,0.84678
2015,Iðnaðarvörur,Ívílnunarkjör,0.14441
2015,Föt,Ívílnunarkjör,1.94881
2016,Landbúnaðarvörur,Ívílnunarkjör,7.04065
2016,Vefnaðarvara,Ívílnunarkjör,1.54096
2016,Iðnaðarvörur,Ívílnunarkjör,0.2254
2016,Föt,Ívílnunarkjör,0.0
2016,Vopn,Ívílnunarkjör,6.73788
2016,Allar vörutegundir,Ívílnunarkjör,0.63486
2017,Allar vörutegundir,Ívílnunarkjör,1.07911
2017,Landbúnaðarvörur,Ívílnunarkjör,12.49977
2017,Vefnaðarvara,Ívílnunarkjör,0.0
2017,Föt,Ívílnunarkjör,0.0
2017,Iðnaðarvörur,Ívílnunarkjör,0.00411
2017,Vopn,Ívílnunarkjör,0.0
