Year,Hópur,Value
2010,Minnst þróuðu ríkin,0.1111
2011,Minnst þróuðu ríkin,0.1232
2012,Minnst þróuðu ríkin,0.4847
2013,Minnst þróuðu ríkin,0.1606
2014,Minnst þróuðu ríkin,0.1812
2015,Minnst þróuðu ríkin,0.2016
2016,Minnst þróuðu ríkin,0.2298
2017,Minnst þróuðu ríkin,0.2495
2018,Minnst þróuðu ríkin,0.2708
2010,Þróunarlönd,22.54274698
2011,Þróunarlönd,19.76351824
2012,Þróunarlönd,21.8056668
2013,Þróunarlönd,20.89073088
2014,Þróunarlönd,19.91253328
2015,Þróunarlönd,22.03557499
2016,Þróunarlönd,17.49332859
2017,Þróunarlönd,19.29174603
2018,Þróunarlönd,19.38138092
