Year,Landshluti,Næringarfræðilegt ástand,Kyn,Value
2010,Höfuðborgarsvæðið,Ofþyngd,Karl,8.2
2011,Höfuðborgarsvæðið,Ofþyngd,Karl,10.6
2012,Höfuðborgarsvæðið,Ofþyngd,Karl,8.2
2013,Höfuðborgarsvæðið,Ofþyngd,Karl,8.3
2014,Höfuðborgarsvæðið,Ofþyngd,Karl,8.2
2015,Höfuðborgarsvæðið,Ofþyngd,Karl,8.5
2016,Höfuðborgarsvæðið,Ofþyngd,Karl,9.6
2017,Höfuðborgarsvæðið,Ofþyngd,Karl,9.5
2018,Höfuðborgarsvæðið,Ofþyngd,Karl,9.2
2010,Höfuðborgarsvæðið,Ofþyngd,Kona,12.7
2011,Höfuðborgarsvæðið,Ofþyngd,Kona,11.6
2012,Höfuðborgarsvæðið,Ofþyngd,Kona,11.0
2013,Höfuðborgarsvæðið,Ofþyngd,Kona,12.5
2014,Höfuðborgarsvæðið,Ofþyngd,Kona,12.5
2015,Höfuðborgarsvæðið,Ofþyngd,Kona,13.1
2016,Höfuðborgarsvæðið,Ofþyngd,Kona,13.5
2017,Höfuðborgarsvæðið,Ofþyngd,Kona,14.8
2018,Höfuðborgarsvæðið,Ofþyngd,Kona,14.8
2010,Höfuðborgarsvæðið,Offita,Karl,2.3
2011,Höfuðborgarsvæðið,Offita,Karl,2.1
2012,Höfuðborgarsvæðið,Offita,Karl,1.7
2013,Höfuðborgarsvæðið,Offita,Karl,1.7
2014,Höfuðborgarsvæðið,Offita,Karl,1.3
2015,Höfuðborgarsvæðið,Offita,Karl,1.9
2016,Höfuðborgarsvæðið,Offita,Karl,2.4
2017,Höfuðborgarsvæðið,Offita,Karl,1.3
2018,Höfuðborgarsvæðið,Offita,Karl,1.4
2010,Höfuðborgarsvæðið,Offita,Kona,2.6
2011,Höfuðborgarsvæðið,Offita,Kona,2.6
2012,Höfuðborgarsvæðið,Offita,Kona,1.4
2013,Höfuðborgarsvæðið,Offita,Kona,2.4
2014,Höfuðborgarsvæðið,Offita,Kona,2.3
2015,Höfuðborgarsvæðið,Offita,Kona,2.6
2016,Höfuðborgarsvæðið,Offita,Kona,2.2
2017,Höfuðborgarsvæðið,Offita,Kona,2.6
2018,Höfuðborgarsvæðið,Offita,Kona,2.5
