Year,Tegund náms,Aldur,Kyn,Value
2003,Formlegt,16-24,,58.2
2004,Formlegt,16-24,,61.0
2005,Formlegt,16-24,,62.3
2006,Formlegt,16-24,,60.8
2007,Formlegt,16-24,,63.3
2008,Formlegt,16-24,,59.2
2009,Formlegt,16-24,,62.6
2010,Formlegt,16-24,,62.9
2011,Formlegt,16-24,,60.2
2012,Formlegt,16-24,,59.9
2013,Formlegt,16-24,,59.1
2014,Formlegt,16-24,,61.9
2015,Formlegt,16-24,,63.3
2016,Formlegt,16-24,,54.7
2017,Formlegt,16-24,,58.2
2018,Formlegt,16-24,,56.5
2019,Formlegt,16-24,,60.9
2020,Formlegt,16-24,,62.9
2021,Formlegt,16-24,,62.4
2003,Formlegt,16-24,Karl,56.5
2004,Formlegt,16-24,Karl,60.0
2005,Formlegt,16-24,Karl,58.2
2006,Formlegt,16-24,Karl,58.0
2007,Formlegt,16-24,Karl,60.3
2008,Formlegt,16-24,Karl,57.8
2009,Formlegt,16-24,Karl,59.7
2010,Formlegt,16-24,Karl,60.1
2011,Formlegt,16-24,Karl,57.5
2012,Formlegt,16-24,Karl,56.8
2013,Formlegt,16-24,Karl,57.3
2014,Formlegt,16-24,Karl,58.8
2015,Formlegt,16-24,Karl,58.7
2016,Formlegt,16-24,Karl,52.2
2017,Formlegt,16-24,Karl,54.2
2018,Formlegt,16-24,Karl,52.2
2019,Formlegt,16-24,Karl,55.4
2020,Formlegt,16-24,Karl,58.4
2021,Formlegt,16-24,Karl,58.0
2003,Formlegt,16-24,Kona,60.1
2004,Formlegt,16-24,Kona,62.0
2005,Formlegt,16-24,Kona,66.7
2006,Formlegt,16-24,Kona,63.8
2007,Formlegt,16-24,Kona,66.6
2008,Formlegt,16-24,Kona,60.6
2009,Formlegt,16-24,Kona,65.7
2010,Formlegt,16-24,Kona,65.9
2011,Formlegt,16-24,Kona,63.0
2012,Formlegt,16-24,Kona,63.3
2013,Formlegt,16-24,Kona,61.0
2014,Formlegt,16-24,Kona,65.3
2015,Formlegt,16-24,Kona,68.1
2016,Formlegt,16-24,Kona,57.4
2017,Formlegt,16-24,Kona,62.5
2018,Formlegt,16-24,Kona,61.2
2019,Formlegt,16-24,Kona,66.8
