Year,Aldurshópur,Þekking,Value
2017,16-24,Upplýsingafærni,99
2017,16-24,Samskiptafærni,99
2017,16-24,Lausnarfærni,99
2017,16-24,Hugbúnaðarfærni,97
2017,25-34,Upplýsingafærni,99
2017,25-34,Samskiptafærni,99
2017,25-34,Lausnarfærni,100
2017,25-34,Hugbúnaðarfærni,95
2017,35-44,Upplýsingafærni,99
2017,35-44,Samskiptafærni,98
2017,35-44,Lausnarfærni,100
2017,35-44,Hugbúnaðarfærni,95
2017,45-54,Upplýsingafærni,97
2017,45-54,Samskiptafærni,99
2017,45-54,Lausnarfærni,98
2017,45-54,Hugbúnaðarfærni,86
2017,55-64,Upplýsingafærni,92
2017,55-64,Samskiptafærni,96
2017,55-64,Lausnarfærni,94
2017,55-64,Hugbúnaðarfærni,77
2017,65-74,Upplýsingafærni,79
2017,65-74,Samskiptafærni,85
2017,65-74,Lausnarfærni,85
2017,65-74,Hugbúnaðarfærni,58
