Year,Kyn,Staða,Value
1999,Karl,Framkvæmdarstjórar,84.6
2000,Karl,Framkvæmdarstjórar,83.9
2001,Karl,Framkvæmdarstjórar,83.4
2002,Karl,Framkvæmdarstjórar,83.1
2003,Karl,Framkvæmdarstjórar,82.7
2004,Karl,Framkvæmdarstjórar,82.3
2005,Karl,Framkvæmdarstjórar,81.8
2006,Karl,Framkvæmdarstjórar,81.6
2007,Karl,Framkvæmdarstjórar,81.3
2008,Karl,Framkvæmdarstjórar,80.9
2009,Karl,Framkvæmdarstjórar,80.6
2010,Karl,Framkvæmdarstjórar,79.8
2011,Karl,Framkvæmdarstjórar,79.6
2012,Karl,Framkvæmdarstjórar,79.2
2013,Karl,Framkvæmdarstjórar,78.6
2014,Karl,Framkvæmdarstjórar,78.4
2015,Karl,Framkvæmdarstjórar,78.1
2016,Karl,Framkvæmdarstjórar,77.9
2017,Karl,Framkvæmdarstjórar,77.8
2018,Karl,Framkvæmdarstjórar,77.3
2019,Karl,Framkvæmdarstjórar,77.0
2020,Karl,Framkvæmdarstjórar,76.6
2021,Karl,Framkvæmdarstjórar,76.1
1999,Karl,Stjórnarformenn,77.6
2000,Karl,Stjórnarformenn,77.9
2001,Karl,Stjórnarformenn,78.2
2002,Karl,Stjórnarformenn,78.5
2003,Karl,Stjórnarformenn,77.9
2004,Karl,Stjórnarformenn,78.0
2005,Karl,Stjórnarformenn,78.3
2006,Karl,Stjórnarformenn,78.1
2007,Karl,Stjórnarformenn,78.1
2008,Karl,Stjórnarformenn,77.9
2009,Karl,Stjórnarformenn,77.3
2010,Karl,Stjórnarformenn,76.9
2011,Karl,Stjórnarformenn,76.5
2012,Karl,Stjórnarformenn,76.1
2013,Karl,Stjórnarformenn,76.3
2014,Karl,Stjórnarformenn,76.1
2015,Karl,Stjórnarformenn,75.9
2016,Karl,Stjórnarformenn,76.1
2017,Karl,Stjórnarformenn,76.1
2018,Karl,Stjórnarformenn,75.9
2019,Karl,Stjórnarformenn,75.7
2020,Karl,Stjórnarformenn,75.7
2021,Karl,Stjórnarformenn,75.3
1999,Karl,Stjórnarmenn,78.1
2000,Karl,Stjórnarmenn,78.4
2001,Karl,Stjórnarmenn,78.7
2002,Karl,Stjórnarmenn,78.4
2003,Karl,Stjórnarmenn,78.1
2004,Karl,Stjórnarmenn,77.7
2005,Karl,Stjórnarmenn,77.7
