Year,Gender,Value
2003,,6.0
2003,Males,5.5
2003,Females,5.6
2004,,6.0
2004,Males,5.0
2004,Females,7.1
2005,,5.1
2005,Males,4.7
2005,Females,5.4
2006,,5.1
2006,Males,4.3
2006,Females,6.0
2007,,4.7
2007,Males,3.7
2007,Females,5.6
2008,,4.8
2008,Males,4.5
2008,Females,5.1
2009,,8.8
2009,Males,11.1
2009,Females,6.5
2010,,9.2
2010,Males,9.6
2010,Females,8.8
2011,,8.4
2011,Males,9.9
2011,Females,6.8
2012,,7.1
2012,Males,8.2
2012,Females,5.9
2013,,6.5
2013,Males,7.7
2013,Females,5.1
2014,,7.2
2014,Males,7.5
2014,Females,6.7
2015,,5.8
2015,Males,6.7
2015,Females,4.7
2016,,5.0
2016,Males,5.2
2016,Females,4.8
2017,,4.9
2017,Males,4.8
2017,Females,5.1
2018,,5.9
2018,Males,5.1
2018,Females,6.6
2019,,5.5
2019,Males,6.8
2019,Females,4.2
2020,,7.4
2020,Males,7.5
2020,Females,7.2
2021,,6.3
2021,Males,6.9
2021,Females,5.6
