Value,Disaggregation combinations using this value,Number of indicators
"C: 10-12 Manufacture of food products, beverages and tobacco products",2,1
C: 10-12 Thereof Fish processing,2,1
"C: 13-15 Manufacture of textiles, wearing apparel and leather products",2,1
C: 16-17 Manufacture of wood and paper products,2,1
C: 18 Printing and reproduction of recorded media,2,1
C: 19 Manufacture of coke and refined petroleum products,2,1
"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",2,1
C: 22 Manufacture of rubber and plastic products,2,1
C: 23 Manufacture of other non-metallic mineral products,2,1
C: 24 Manufacture of basic metals,2,1
"C: 25 Manufacture of fabricated metal products, except machinery and equipment",2,1
"C: 26 Manufacture of computer, electronic and optical products",2,1
C: 27 Manufacture of electrical equipment,2,1
C: 28 Manufacture of machinery and equipment n.e.c.,2,1
"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",2,1
C: 30 Manufacture of other transport equipment,2,1
C: 31-32 Manufacture of furniture; other manufacturing,2,1
C: 33 Repair and installation of machinery and equipment,2,1
C. Manufacturing,2,1
